"","296-100-0.22","296-20-0.22","296-40-0.22","296-60-0.22","298-100-0.22","298-200-0.22","298-40-0.22","298-60-0.22","300-100-0.22","300-20-0.22","300-200-0.22","300-40-0.22","300-60-0.22","302-100-0.22","302-200-0.22","302-40-0.22","302-60-0.22","304-100-0.22","304-200-0.22","304-40-0.22","304-70-0.22","306-100-0.22","306-20-0.22","306-200-0.22","306-40-0.22","306-60-0.22","311-100-0.22","311-20-0.22","311-200-0.22","311-40-0.22","311-60-0.22","312-20-0.22","312-200-0.22","312-60-0.22","314-20-0.22","314-200-0.22","314-60-0.22","314-95-0.22","315-100-0.22","315-20-0.22","315-200-0.22","315-40-0.22","315-65-0.22","317-100-0.22","317-20-0.22","317-200-0.22","317-40-0.22","317-60-0.22","319-100-0.22","319-200-0.22","319-40-0.22","319-60-0.22","320-20-0.22","320-60-0.22","321-200-0.22","321-40-0.22","323-70-0.22","324-200-0.22","324-40-0.22","329-20-0.22","329-200-0.22","329-60-0.22","298-20-0.22","323-20-0.22","323-200-0.22","302-20-0.22","321-100-0.22","321-20-0.22","321-60-0.22","323-100-0.22","324-60-0.22","329-100-0.22","329-40-0.22"
"315-200-0.22",1,1,1,1,1,0.94,1,1,0.99,1,0.61,1,1,1,0.56,1,1,0.97,-0.61,1,1,1,1,-0.22,1,1,1,1,0.12,1,1,1,0.1,1,1,-1,1,1,0.41,1,0,1,1,-0.94,1,-1,0.97,0.41,-0.64,-1,0.99,0.74,-0.14,1,1,1,1,-0.56,1,1,0.13,1,1,1,0.62,1,1,1,1,1,1,1,1
"315-40-0.22",1,1,1,1,1,1,1,1,0.99,0.59,1,-0.78,0.35,0.99,1,-0.6,0.62,1,1,-0.46,0.78,0.9,-0.99,1,-1,-1,-0.98,-1,1,-0.98,-0.98,-0.98,1,-0.98,-1,1,-1,-0.17,1,-1,1,0,0.14,1,-0.92,1,0.47,1,1,1,1,1,1,0.33,0.91,0.99,0.81,1,0.98,0.98,1,1,1,1,1,-0.69,1,0.21,1,1,1,1,1
"315-65-0.22",1,1,1,1,1,1,1,1,0.46,1,1,1,1,-0.05,1,0.99,0.81,0.62,1,1,0.89,-0.34,0.97,1,0.97,0.94,0.92,0.87,0.93,0.92,0.95,0.82,1,0.96,0.65,1,0.93,-1,0.28,0.89,1,0.14,0,0.9,0.31,1,-0.97,-0.61,0.96,1,0.04,0.77,1,0.2,0.61,0.99,0.94,0.79,0.99,0.99,1,1,1,1,1,1,0.97,1,0.89,0.92,1,1,1
"317-100-0.22",1,1,1,1,1,1,1,1,0.85,1,0.34,1,1,0.8,-0.04,1,0.99,0.77,-0.28,1,1,0.84,1,-0.01,1,1,1,1,0.52,1,1,1,-0.59,1,1,-0.74,1,0.94,-0.99,1,-0.94,1,0.9,0,0.97,-0.99,0.29,-0.59,-1,-1,-0.52,-1,-0.43,0.85,0.77,1,1,-0.36,0.99,0.98,0.14,0.99,1,1,0.99,1,0.89,1,1,0.97,1,0.97,0.99
"317-20-0.22",1,1,1,1,1,1,1,0.97,0.74,-0.48,1,-0.77,0.03,0.98,1,-0.74,0.17,1,1,-0.34,0.71,0.95,-0.93,1,-0.94,-0.83,-0.72,-0.9,1,-0.82,-0.84,-0.86,1,-0.82,-0.98,1,-0.93,0.1,1,-0.94,1,-0.92,0.31,0.97,0,1,-0.34,0.98,1,1,1,1,0.6,-0.62,0.81,0.2,0.11,0.93,0.61,0.8,1,0.99,1,0.66,1,-0.78,1,-0.65,0.65,0.96,0.84,1,0.98
"317-200-0.22",1,1,1,1,1,1,1,1,0.99,1,0.77,1,1,0.99,0.01,1,1,0.9,-0.45,1,1,1,1,-0.27,1,1,1,1,0.45,1,1,1,0.31,1,1,-1,1,1,0.26,1,-1,1,1,-0.99,1,0,0.89,0.64,-0.98,-1,0.96,0.23,0.13,0.99,1,1,1,-0.3,1,1,0.2,1,1,1,0.97,1,1,1,1,1,1,1,1
"317-40-0.22",1,1,1,1,1,1,1,0.99,-0.44,0.94,0.92,0.96,0.97,-0.52,0.67,0.77,0.46,0.11,0.66,0.98,0.61,-0.42,0.95,0.97,0.95,0.91,0.8,0.8,0.61,0.84,0.9,0.79,0.96,0.91,0.65,1,0.88,-0.87,0,0.89,0.97,0.47,-0.97,0.29,-0.34,0.89,0,-0.92,0.26,0.94,-0.72,-0.03,0.61,-0.61,-0.55,0.53,0.1,0.13,0.6,0.44,0.8,0.86,0.99,0.99,0.97,0.91,0.53,0.88,0.14,-0.08,0.7,0.85,0.79
"317-60-0.22",1,1,1,1,0.99,0.99,1,1,-0.13,1,0.29,1,1,-0.5,0.14,1,0.99,-0.34,-0.18,1,1,0.02,1,0.32,1,1,1,1,-0.47,1,1,1,0.6,1,1,0.47,1,-0.3,-0.98,1,0.41,1,-0.61,-0.59,0.98,0.64,-0.92,0,-0.43,0.44,-0.99,-0.74,0.63,0.58,-0.26,1,0.86,-0.7,0.99,0.85,-0.16,1,1,1,0.29,1,0.92,1,1,0.95,1,0.92,0.99
"319-100-0.22",1,1,1,1,1,1,1,1,0.91,1,0.51,1,1,0.79,-0.14,1,1,0.62,-0.53,1,1,0.99,1,-0.01,1,1,1,1,0.27,1,1,1,0.09,1,1,-0.83,1,0.96,-0.77,1,-0.64,1,0.96,-1,1,-0.98,0.26,-0.43,0,-0.96,-0.05,-0.96,-0.07,0.96,0.79,1,1,-0.67,1,1,-0.1,1,1,1,0.96,1,1,1,1,1,1,1,1
"319-200-0.22",1,1,1,1,1,0.99,1,1,1,1,0.61,1,1,1,0.36,1,1,0.98,-0.42,1,1,1,1,-0.15,1,1,1,1,0.22,1,1,1,0.09,1,1,-1,1,1,0.35,1,-1,1,1,-1,1,-1,0.94,0.44,-0.96,0,0.97,0.4,-0.29,1,1,1,1,-0.58,1,1,0.08,1,1,1,0.34,1,1,1,1,1,1,1,1
"319-40-0.22",1,1,1,1,1,1,1,1,0.41,1,0.88,1,1,-0.48,0.66,1,1,0.2,0.77,1,1,0.48,1,0.99,1,1,1,1,0.41,1,1,1,0.99,1,1,0.99,1,0.32,-1,1,0.99,1,0.04,-0.52,1,0.96,-0.72,-0.99,-0.05,0.97,0,-0.99,0.92,0.43,-0.83,1,0.73,0.2,0.98,0.71,0.32,0.98,1,1,1,1,0.84,1,0.99,0.91,1,0.97,1
"319-60-0.22",1,1,1,1,1,1,1,1,0.87,1,0.77,1,1,0.39,0.35,1,1,0.72,0.36,1,1,0.92,1,0.8,1,1,1,1,0.38,1,1,1,0.78,1,1,0.78,1,0.89,-1,1,0.74,1,0.77,-1,1,0.23,-0.03,-0.74,-0.96,0.4,-0.99,0,0.72,0.78,-0.07,1,0.97,-0.06,1,0.99,0.34,1,1,1,1,1,0.99,1,1,1,1,1,1
"320-20-0.22",1,1,1,0.99,1,0.99,1,0.98,0.9,0.72,0.98,0.97,0.98,1,0.99,0.92,0.93,1,0.87,0.97,0.95,1,0.99,0.98,0.98,1,1,0.98,0.99,1,0.99,0.96,0.97,1,0.76,-0.47,0.99,0.98,0.95,0.99,-0.14,1,1,-0.43,0.6,0.13,0.61,0.63,-0.07,-0.29,0.92,0.72,0,-1,0.35,-0.39,-0.21,-0.06,0.59,0.31,0.14,0.93,0.96,0.84,0.94,0.93,0.89,-0.52,0.56,0.64,0.71,0.94,0.81
"320-60-0.22",0.98,0.97,0.97,0.98,1,1,0.97,0.4,0.02,-0.67,1,-0.38,-0.12,0.63,1,-0.13,-0.54,0.96,1,0.19,-0.35,0.88,0.45,1,0.28,0.36,0.59,0.6,1,0.65,0.71,0.41,1,0.76,-0.38,1,0.17,0.03,0.99,0.2,1,0.33,0.2,0.85,-0.62,0.99,-0.61,0.58,0.96,1,0.43,0.78,-1,0,-0.43,-0.94,-0.79,0.82,-0.57,-0.41,0.87,0.35,0.68,0.31,0.98,-0.09,-0.39,-0.98,-0.99,-0.82,-0.29,0.8,0.11
"321-200-0.22",0.98,0.96,0.97,0.98,1,1,0.99,0.93,-0.55,0.85,0.2,0.98,0.95,-0.73,0.09,0.96,0.49,-0.17,0.51,0.95,0.67,0.14,1,0.92,0.99,0.99,0.99,0.97,0.67,0.99,0.99,0.96,0.99,1,0.94,1,0.99,0.73,0.72,0.99,1,0.91,0.61,0.77,0.81,1,-0.55,-0.26,0.79,1,-0.83,-0.07,0.35,-0.43,0,-0.35,-0.76,-0.28,-0.16,-0.41,-0.24,-0.23,0.86,0.95,0.92,0.98,-1,0.54,-1,-1,0.12,-0.46,0.07
"321-40-0.22",0.9,0.33,0.47,0.6,1,1,0.95,0.55,0.39,-0.73,1,0.65,0.72,0.91,1,0.7,0.36,1,1,0.74,0.69,1,0.98,1,0.97,0.99,0.96,0.88,1,0.94,0.97,0.88,1,0.98,0.79,1,0.98,0.96,1,0.99,1,0.99,0.99,1,0.2,1,0.53,1,1,1,1,1,-0.39,-0.94,-0.35,0,-1,0.97,-0.63,-0.9,0.89,-0.6,-0.28,-0.38,1,0.74,0.9,-1,-1,-0.16,-0.83,0.42,-0.71
