"","1_P1-100-3","1_P1-20-3","1_P1-200-3","1_P1-40-3","1_P1-60-3","2_P1-100-3","2_P1-20-3","2_P1-200-3","2_P1-40-3","2_P1-60-3","3_P1-20-3","3_P1-200-3","3_P1-40-3","3_P1-60-3","4_P1-90-3","4_P1-20-3","4_P1-100-3","4_P1-200-3","4_P1-40-3","4_P1-60-3","5_P1-20-3","3_P1-90-3","5_P1-100-3","5_P1-200-3","5_P1-40-3","5_P1-90-3","6_P1-100-3","6_P1-20-3","6_P1-200-3","6_P1-40-3","6_P1-60-3","7_P1-20-3","7_P1-40-3","7_P1-60-3","10_P1-20-3","10_P1-40-3","7_P1-105-3","7_P1-200-3","8_P1-100-3","8_P1-115-3","8_P1-20-3","8_P1-200-3","8_P1-40-3","8_P1-60-3","9_P1-100-3","9_P1-120-3","9_P1-20-3","9_P1-200-3","9_P1-40-3","9_P1-60-3","10_P1-100-3","10_P1-120-3","10_P1-200-3","10_P1-60-3","11_P1-100-3","11_P1-20-3","11_P1-200-3","11_P1-40-3","11_P1-60-3","11_P1-70-3","12_P1-100-3","12_P1-20-3","12_P1-200-3","12_P1-40-3","12_P1-60-3","13_P1-100-3","13_P1-20-3","13_P1-200-3","13_P1-40-3","13_P1-60-3","14_P1-100-3","14_P1-20-3","14_P1-200-3","14_P1-40-3","14_P1-60-3","12_P2-100-3","12_P2-20-3","12_P2-200-3","12_P2-40-3","12_P2-60-3","15_P2-100-3","15_P2-20-3","15_P2-200-3","15_P2-40-3","15_P2-60-3","17_P2-100-3","17_P2-20-3","17_P2-200-3","17_P2-40-3","17_P2-60-3","8_P2-20-3","8_P2-200-3","8_P2-40-3","8_P2-60-3"
"9_P1-100-3",0.99,0.76,1,-0.05,-0.12,0.2,0.48,1,-0.17,0.93,-0.36,1,0.19,0.01,0.55,0.61,0.69,0.99,0.96,0.45,0.21,-0.14,-0.24,0.97,-0.02,0.54,0.47,0.92,0.93,0.17,0.62,-0.43,-0.81,-0.69,-0.67,-0.58,-0.52,0.17,-0.92,-0.04,-0.97,0.98,-0.62,-0.85,0,-1,-0.78,0.84,-0.97,-0.15,-0.05,0.24,0.99,-0.62,0.8,0.32,0.98,0.84,0.47,0.92,1,1,1,0.97,1,0.98,1,0.99,1,1,0.82,1,0.93,1,1,1,1,0.97,0.98,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0.98
"9_P1-120-3",0.98,0.93,0.9,-0.29,0.48,-0.06,0.51,0.99,-0.51,0.98,-0.54,0.97,0.37,0.55,0.91,0.53,0.99,0.96,0.98,0.18,0.69,-0.11,0.14,0.97,0.67,0.39,0.43,0.81,0.31,0.43,0.94,-0.46,-0.74,-0.43,-0.37,-0.31,-0.85,-0.2,-0.93,0.46,-0.98,0.8,-0.43,-0.91,-1,0,-0.87,-0.1,-0.98,-0.76,-0.04,0.39,0.82,-0.6,0.42,0.66,0.39,0.96,-0.04,0.8,1,0.99,0.98,0.98,1,0.98,0.99,0.87,1,0.99,0.54,1,0.93,1,1,1,1,0.97,0.98,0.99,1,1,1,1,1,1,1,1,1,1,0.97,1,1,0.99
"9_P1-20-3",1,-0.08,0.97,-0.63,0.4,0.9,-0.71,1,-0.91,0.64,-0.97,0.99,-0.84,-0.88,0.98,-0.41,0.99,0.98,0.43,0.58,-0.71,0.91,0.82,0.93,-0.77,-0.22,0.72,0.7,0.82,0.36,0.89,-1,-1,-0.97,-0.9,-1,0.6,-0.11,-1,0.41,-1,0.96,-1,-1,-0.78,-0.87,0,0.77,-1,-0.57,0.25,0.93,1,-0.99,0.93,0.25,0.93,0.86,0.68,0.97,1,0.96,1,0.89,0.98,0.93,0.95,0.95,0.99,0.98,0.58,0.99,0.89,0.99,0.98,1,0.99,0.93,0.92,1,0.99,1,1,0.99,1,1,0.99,0.98,0.99,1,0.88,1,0.98,0.98
"9_P1-200-3",0.98,1,-0.13,1,1,1,1,0.7,1,1,1,0.36,1,1,0.97,0.95,1,-0.72,1,0.58,0.78,0.97,0.74,0.29,0.8,0.87,0.39,0.99,-0.66,0.98,0.96,-0.12,0.53,0.57,0.78,0.65,0.24,-0.29,0.68,0.95,0.7,-0.97,0.08,-0.12,0.84,-0.1,0.77,0,0.59,-0.9,0.09,0.86,-1,0.67,0.18,0.34,-0.7,0.92,0.17,0.87,0.92,0.53,0.76,0.47,0.97,0.9,0.85,0.42,0.97,0.86,-0.61,0.95,-0.22,0.97,0.88,0.98,0.97,0.56,0.99,0.99,0.92,1,0.98,1,1,0.9,0.98,0.88,0.99,1,0.7,0.94,1,1
"9_P1-40-3",1,0.52,0.98,-0.89,-0.42,0.76,-0.9,1,-0.97,-0.08,-0.99,0.99,-0.96,-0.9,0.98,-0.44,1,0.97,0.62,0.52,-0.23,0.84,0.68,0.94,-0.23,-0.04,0.75,0.69,0.8,0.13,0.95,-1,-1,-1,-0.91,-1,0.61,-0.26,-0.99,0.38,-1,0.98,-1,-0.98,-0.97,-0.98,-1,0.59,0,-0.21,0.49,0.81,0.99,-1,0.76,0.56,0.82,0.75,0.64,0.96,1,0.98,0.97,0.91,0.98,0.78,0.98,0.84,0.99,0.95,0.72,0.99,0.86,0.99,0.99,1,0.98,0.92,0.74,0.99,0.96,0.99,1,0.98,1,1,1,0.99,0.99,1,0.93,1,0.96,0.83
"9_P1-60-3",0.87,0.69,-0.78,0.31,0.97,0.34,0.84,0.11,0.45,1,0.24,0.04,0.59,0.89,0.93,0.28,0.98,-0.41,0.86,-0.32,0.15,0.37,0.37,-0.1,0.2,-0.19,-0.3,0.69,-0.74,0.69,0.88,-0.24,-0.02,-0.2,-0.74,0.33,-0.52,-0.97,-0.58,0.5,-0.71,-0.95,0.3,-0.91,-0.15,-0.76,-0.57,-0.9,-0.21,0,-0.6,0.3,-0.5,0.13,-0.42,0,-0.91,0.79,-0.45,0.4,0.85,0.83,0.17,0.57,0.95,0.31,0.41,-0.6,0.92,0.1,-0.28,0.68,0.11,0.77,0.71,0.88,0.87,-0.53,0.72,0.89,0.22,0.99,0.43,0.97,0.8,0.67,0.69,0.06,0.65,0.92,0.53,0.98,0.93,0.96
"10_P1-100-3",1,0.99,0.7,0.76,0.96,0.4,0.99,0.99,0.88,1,0.88,1,1,1,0.99,0.86,1,0.99,0.99,0.44,0.94,0.66,0.68,0.92,0.93,0.68,0.58,0.95,0.58,0.82,1,0.35,0.71,0.76,-0.05,0.89,-0.08,-0.22,-0.05,0.72,-0.23,0.36,0.81,-0.51,-0.05,-0.04,0.25,0.09,0.49,-0.6,0,0.14,0.49,0.8,0.31,-0.01,-0.75,0.97,-0.3,0.77,0.98,0.99,0.89,0.95,1,0.78,0.98,-0.28,0.95,0.72,-0.83,0.99,0.51,1,1,1,1,0.64,0.95,0.98,0.85,1,0.99,1,1,1,0.92,0.79,0.97,1,0.98,1,1,0.97
"10_P1-120-3",0.99,1,1,1,0.98,0.26,1,1,1,1,1,1,1,1,0.72,0.95,0.8,0.99,1,0.71,0.98,0.35,0.1,0.97,0.98,0.95,0.69,1,0.97,0.87,0.9,0.97,0.87,0.93,0.81,0.98,-0.48,0.81,0.77,0.46,0.76,0.93,0.98,0.32,0.24,0.39,0.93,0.86,0.81,0.3,0.14,0,0.95,0.86,0.78,0.82,0.93,0.96,0.01,0.53,1,1,1,0.96,1,0.88,1,0.98,1,1,0.81,1,0.95,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1
"10_P1-200-3",0.98,1,0.31,1,1,1,1,0.91,1,1,1,0.61,1,1,1,1,1,0.24,1,0.91,1,0.99,0.92,0.78,1,0.99,0.8,1,-0.35,1,1,0.67,0.99,0.99,0.95,1,0.59,0.52,0.99,1,0.98,-0.91,0.99,0.73,0.99,0.82,1,-1,0.99,-0.5,0.49,0.95,0,1,0.75,0.91,-0.93,1,0.67,0.99,1,1,0.99,0.98,1,0.97,1,0.89,1,1,0.03,1,0.77,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,0.96,1,1,0.99,0.99,1,1
"10_P1-60-3",1,0.77,0.97,-0.89,0.3,0.93,-0.83,1,-0.93,0.46,-0.94,1,-0.63,-0.87,0.99,0.14,1,1,0.86,0.48,0.14,0.96,0.71,0.85,0.22,0.29,0.88,0.93,0.89,0.61,0.99,-0.99,-0.97,-0.97,-0.64,-1,0.64,0.08,-0.99,0.71,-1,0.99,-1,-0.95,-0.62,-0.6,-0.99,0.67,-1,0.13,0.8,0.86,1,0,0.9,0.77,0.94,0.93,0.45,0.96,1,1,1,0.99,1,0.98,0.99,0.99,1,1,0.92,1,0.99,1,1,1,0.99,0.94,0.92,0.99,0.99,1,1,1,1,1,1,1,1,1,0.91,1,0.99,0.95
"11_P1-100-3",0.88,1,0.91,1,1,0.99,1,0.99,1,1,1,1,1,1,0.95,0.96,0.99,0.94,1,0.8,0.94,0.95,0.91,0.96,0.95,0.94,0.79,0.99,0.78,0.98,0.96,0.83,0.79,0.81,0.88,0.86,0.43,0.66,0.8,0.78,0.84,0.57,0.77,0.24,0.8,0.42,0.93,0.18,0.76,-0.42,0.31,0.78,0.75,0.9,0,0.26,0.14,0.39,-0.35,-0.67,-0.06,0.32,-0.32,0.11,0.72,0.86,0.78,0.58,0.95,0.74,0.02,0.99,0.49,1,0.97,0.91,0.98,0.93,0.99,0.91,0.96,1,0.98,1,1,1,0.99,0.98,1,1,0.96,0.99,1,0.99
"11_P1-20-3",1,1,0.81,0.56,0.34,0.79,0.99,1,0.76,1,0.75,1,1,1,1,0.46,1,1,0.98,0.58,0.92,0.97,0.91,0.91,0.97,0.8,0.84,0.95,0.89,0.86,1,0.98,0.74,0.87,-0.2,0.98,0.52,0.14,-0.12,0.6,-0.24,1,0.99,-0.33,0.32,0.66,0.25,0.34,0.56,0,-0.01,0.82,0.91,0.77,0.26,0,-0.46,-1,-0.94,0.33,0.98,1,0.82,0.98,1,0.86,0.9,0.54,1,0.9,0.89,1,0.97,1,1,1,0.05,0.73,-0.54,0.82,0.88,0.99,0.98,0.98,1,1,1,0.97,0.99,1,0.83,1,0.2,-0.62
"11_P1-200-3",0.96,1,0.23,1,1,1,1,0.95,1,1,1,0.88,1,1,1,0.98,1,0.47,1,0.81,0.95,1,0.99,0.9,0.91,0.93,0.88,1,0.15,1,1,-0.05,0.91,0.87,0.53,0.78,0.79,0.41,0.92,0.98,0.89,-0.99,0.46,0.07,0.98,0.39,0.93,-0.7,0.82,-0.91,-0.75,0.93,-0.93,0.94,0.14,-0.46,0,0.93,0.27,0.78,0.25,0.33,0.62,0.06,0.95,0.72,0.8,0.16,0.9,0.65,-0.9,0.92,-0.28,0.96,0.78,1,1,0.88,1,1,0.97,1,0.98,1,1,0.97,0.81,0.76,0.94,0.99,0.95,0.99,1,1
"11_P1-40-3",1,1,0.98,0.97,0.39,0.96,1,1,0.99,1,0.99,1,1,1,1,0.61,1,1,0.98,0.79,0.98,0.99,0.9,0.99,0.99,0.9,0.91,0.97,0.95,0.72,1,0.99,0.93,0.99,0.9,0.97,0.77,0.9,0.75,0.78,0.65,1,0.98,0.61,0.84,0.96,0.86,0.92,0.75,0.79,0.97,0.96,1,0.93,0.39,-1,0.93,0,-0.48,0.49,0.99,0.8,0.89,0.67,0.74,0.65,0.8,0.92,0.94,0.91,0.88,1,0.97,1,1,1,-0.53,0.96,-0.65,0.34,0.9,0.91,1,0.92,0.98,1,1,1,0.97,1,-0.04,1,-0.61,-0.84
"11_P1-60-3",0.76,0.96,0.61,0.99,0.83,0.72,1,0.99,0.99,1,0.99,0.95,0.99,0.94,0.7,0.75,0.95,0.88,0.97,0.33,0.73,0.69,0.42,0.65,0.76,0.63,0.45,0.85,0.39,0.79,0.82,0.79,0.74,0.72,0.7,0.82,-0.34,0.38,0.41,0.19,0.62,0.46,0.77,0.07,0.47,-0.04,0.68,0.17,0.64,-0.45,-0.3,0.01,0.67,0.45,-0.35,-0.94,0.27,-0.48,0,-1,0.61,0.2,0.61,-0.01,0.34,0.6,0.2,0.57,0.81,0.61,-0.23,0.88,0.57,0.96,0.79,0.98,0.81,0.85,0.71,0.46,0.81,0.96,0.98,0.98,0.99,0.99,0.96,0.95,0.97,0.99,0.69,0.95,0.92,0.76
"11_P1-70-3",0.95,1,0.95,1,0.98,0.79,1,1,1,1,1,1,1,1,0.92,0.94,0.99,1,1,0.78,0.98,0.88,0.88,0.98,0.99,0.96,0.87,0.98,0.94,0.86,0.99,0.99,0.97,0.99,0.95,0.99,0.08,0.91,0.89,0.61,0.92,0.97,0.99,0.64,0.92,0.8,0.97,0.87,0.96,0.4,0.77,0.53,0.99,0.96,-0.67,0.33,0.78,0.49,-1,0,0.77,0.79,0.65,0.59,0.71,0.64,0.9,0.93,0.98,0.97,0.67,1,0.95,1,0.99,1,0.99,0.98,0.93,0.74,0.97,1,1,1,1,1,1,1,0.99,1,0.97,1,1,0.96
"12_P1-100-3",1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,0.99,1,0.99,0.97,1,1,1,0.99,1,0.97,1,1,1,0.92,1,0.85,0.98,1,1,1,-0.06,0.98,0.25,0.99,0.61,0.77,0,-0.07,-1,0.18,0.1,-0.13,0.78,0.42,0.99,0.77,0.88,1,0.98,1,1,1,1,0.83,0.98,0.69,0.65,0.99,0.98,0.99,0.99,1,1,1,0.98,1,1,1,1,1
"12_P1-20-3",1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0.83,1,1,0.99,0.91,1,1,1,0.99,1,0.98,0.95,1,0.96,0.99,1,1,1,1,0.95,1,0.97,0.91,0.96,0.99,0.94,1,1,0.7,1,0.99,0.96,0.53,0.98,0.83,0.99,1,1,1,0.32,1,0.33,0.8,0.2,0.79,-0.07,0,-0.65,-1,-1,-0.63,-0.98,0.01,-0.11,-0.56,0.85,0.8,0.96,0.89,0.94,1,0.8,0.95,0.37,-0.09,0.3,0.57,0.98,0.58,0.76,1,0.98,0.99,0.57,0.94,1,1,1,0.97
"12_P1-200-3",1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,1,0.98,1,0.98,1,1,0.99,0.99,0.99,0.92,0.99,0.95,0.95,0.99,0.99,0.99,0.86,0.97,0.78,1,0.98,1,0.76,0.97,0.17,0.89,1,0.99,1,-0.32,0.82,0.62,0.89,0.61,0.65,-1,-0.65,0,-0.7,-0.29,0.06,0.43,0.63,0.68,0.41,0.24,1,0.47,0.99,0.97,0.98,0.99,0.93,0.97,0.75,0.7,0.95,0.97,0.99,0.99,1,0.97,0.98,0.96,0.99,0.99,1,1,1
"12_P1-40-3",1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,0.67,1,1,0.99,0.87,1,1,0.98,0.97,1,0.94,0.9,0.98,0.88,0.94,1,1,0.98,1,0.74,1,0.93,0.78,0.89,0.98,0.83,0.99,1,0.48,0.97,0.98,0.89,0.47,0.91,0.57,0.95,0.96,0.98,0.99,0.11,0.98,0.06,0.67,-0.01,0.59,0.18,-1,-0.7,0,-1,-0.93,-0.9,-0.51,-0.23,-0.52,0.48,0.58,0.79,0.8,0.84,1,0.79,0.87,0.23,-0.1,0.28,0.54,0.94,0.57,0.71,0.98,0.88,0.92,0.38,0.82,1,1,0.99,0.94
"12_P1-60-3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.79,1,1,0.99,0.97,1,1,0.99,0.99,1,0.98,0.97,0.99,0.98,0.94,1,1,1,1,0.93,1,0.97,0.96,0.96,0.99,0.87,1,1,0.85,1,1,0.98,0.97,0.98,0.95,1,1,1,1,0.72,1,0.95,0.74,0.34,0.71,0.1,-1,-0.29,-1,0,-0.79,-0.71,0.61,0,0.14,0.95,0.88,0.99,0.93,0.9,1,0.84,0.91,0.35,-0.25,0.36,0.55,0.97,0.6,0.74,1,0.97,1,0.63,0.93,1,1,0.99,0.94
"13_P1-100-3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.98,1,0.99,0.98,1,0.98,0.95,1,0.98,0.91,1,0.85,0.98,1,0.96,0.95,0.99,0.16,0.96,0.86,0.87,0.91,0.98,0.62,0.74,0.99,0.47,0.98,0.98,0.93,0.9,0.78,0.31,0.78,0.88,0.97,0.98,0.86,0.86,0.72,0.65,0.6,0.64,-0.13,-0.63,0.06,-0.93,-0.79,0,-0.64,-0.88,-0.97,-0.93,-0.56,0.12,-0.22,-0.11,-0.32,0.9,0.95,0.85,0.89,0.59,-0.15,0.37,0.47,0.45,0.66,0.21,0.14,0.35,0,0.12,0.98,1,0.99,0.98
"13_P1-20-3",1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,1,0.92,0.99,1,0.99,0.97,1,0.96,0.94,1,0.88,0.99,1,1,0.99,1,0.89,0.99,0.94,0.83,0.93,1,0.91,0.98,0.99,0.65,1,0.99,0.95,0.85,0.98,0.41,0.98,1,1,0.99,0.78,0.9,0.8,0.8,0.2,0.9,0.78,-0.98,0.43,-0.9,-0.71,-0.64,0,0.2,-0.91,-0.9,0.23,0.22,0.76,0.57,0.22,1,0.74,0.92,0.53,0.2,-0.05,-0.21,0.94,-0.18,0.07,0.89,0.67,0.98,0.16,0.38,0.99,1,0.99,0.99
"13_P1-200-3",1,1,0.71,1,1,1,1,0.98,1,1,1,1,1,1,1,0.97,1,0.95,1,0.98,0.95,1,0.99,0.83,0.96,0.98,0.75,0.99,0.66,1,1,0.86,0.96,0.89,0.24,0.92,0.92,0.5,0.95,1,0.9,0.49,0.83,0.39,0.99,0.87,0.95,0.42,0.84,-0.6,-0.28,0.98,0.89,0.99,0.58,0.54,0.16,0.92,0.57,0.93,0.42,0.01,0.63,-0.51,0.61,-0.88,0.2,0,-0.42,-0.98,-0.99,0.23,-0.96,-0.24,-0.27,1,0.99,0.21,0.94,0.95,-0.34,0.82,0.32,0.79,0.67,0.36,-0.19,-0.02,0.51,0.39,0.99,1,1,1
"13_P1-40-3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,0.97,1,1,1,0.99,1,0.99,0.97,1,0.97,0.99,1,1,1,1,0.91,1,0.98,0.96,0.99,1,0.95,1,1,0.8,1,1,0.99,0.97,0.99,0.92,0.95,1,1,1,0.95,1,0.9,0.94,0.81,0.98,0.99,-0.11,0.68,-0.23,0,-0.97,-0.91,-0.42,0,-0.99,0.29,0.33,0.77,0.3,0.62,1,0.89,0.94,0.66,0.27,0.12,0.41,0.96,0.22,0.16,0.96,0.74,0.92,0.34,0.75,1,1,1,0.99
"13_P1-60-3",1,1,0.76,1,1,1,1,0.99,1,1,1,1,1,1,1,0.97,1,1,1,0.97,0.99,1,0.99,0.87,0.99,0.99,0.81,1,0.92,1,1,0.99,0.99,0.99,0.52,1,0.98,0.72,0.98,1,0.96,0.96,0.99,0.63,1,0.99,0.98,0.86,0.95,0.1,0.72,1,1,1,0.74,0.9,0.65,0.91,0.61,0.97,0.77,-0.56,0.41,-0.52,0.14,-0.93,-0.9,-0.98,-0.99,0,-0.5,0.41,-0.33,0.32,0.31,1,0.93,0.11,0.63,0.25,-0.45,0.19,0.57,-0.07,-0.19,0.74,0.15,0.57,0.41,0.46,0.99,1,0.99,1
"14_P1-100-3",0.99,0.97,0.13,1,1,0.97,1,0.89,0.99,1,0.99,0.87,1,1,0.99,0.85,1,0.88,0.99,0.61,0.96,0.97,0.83,0.63,0.99,0.72,0.56,0.8,-0.27,0.95,1,0.89,0.88,0.89,0.34,0.93,0.62,-0.09,0.65,0.97,0.56,0.59,0.87,-0.05,0.82,0.54,0.58,-0.61,0.72,-0.28,-0.83,0.81,0.03,0.92,0.02,0.89,-0.9,0.88,-0.23,0.67,0.88,0.85,0.24,0.48,0.95,-0.56,0.23,-0.99,0.29,-0.5,0,0.07,-0.38,0.35,0.56,1,0.97,0.39,0.84,0.91,0.2,0.9,0.69,0.73,0.74,0.75,0.27,0.07,0.19,0.68,0.96,1,0.99,0.99
"14_P1-20-3",1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,0.99,0.98,1,1,0.98,1,0.96,1,1,1,1,1,0.84,1,0.98,0.94,0.98,1,0.95,1,1,0.85,1,1,0.99,0.95,0.99,0.68,0.99,1,1,1,0.99,1,0.92,1,0.88,1,1,0.8,1,0.58,0.88,0.12,0.22,0.23,0.33,0.41,0.07,0,0.39,-1,-1,1,0.98,0.93,0.86,0.99,0.04,0.51,0.9,0.51,0.55,0.2,0.28,0.83,-0.55,-0.51,1,1,1,1
"14_P1-200-3",1,1,0.11,1,1,1,1,-0.6,1,1,1,0.96,0.97,1,1,0.89,1,0.91,1,0.96,0.92,0.98,0.85,-0.9,0.88,0.96,-0.04,0.99,0.31,0.97,1,0.98,0.97,0.94,-0.26,0.99,0.84,-0.29,0.89,0.99,0.76,0.89,0.97,0.38,0.93,0.93,0.89,-0.22,0.86,0.11,0.51,0.95,0.77,0.99,0.49,0.97,-0.28,0.97,0.57,0.95,0.98,0.96,0.47,0.79,0.99,-0.22,0.76,-0.96,0.77,-0.33,-0.38,0.39,0,0.38,0.81,0.99,1,-0.79,0.91,1,-0.4,0.97,-0.91,0.9,0.69,0.91,0.34,0.04,0.58,0.89,0.99,1,1,1
"14_P1-40-3",1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,0.93,1,1,0.92,1,0.96,1,1,1,1,1,0.75,1,1,0.87,0.99,1,0.96,1,1,0.86,1,1,0.99,0.97,0.99,0.77,1,1,1,1,1,1,0.96,1,0.96,1,1,0.89,0.99,0.8,0.93,-0.11,0.57,-0.24,0.3,0.32,0.35,-1,0.38,0,-1,1,1,0.37,0.95,1,-0.17,0.79,0.75,0.72,0.29,0.64,0.57,0.72,-0.18,0.2,1,1,1,1
"14_P1-60-3",1,1,0.58,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0.99,1,1,1,0.96,1,1,0.92,1,0.82,1,1,1,1,1,0.84,1,0.98,0.76,0.98,1,0.94,1,1,0.72,1,1,0.98,0.88,0.99,0.71,1,1,1,1,0.97,1,0.78,1,0.79,0.99,1,0.94,0.97,0.84,0.9,-0.32,0.22,-0.27,0.62,0.31,0.56,-1,0.81,-1,0,1,0.99,0.69,0.88,0.98,-0.44,0.72,0.8,0.59,0.1,0.82,0.81,0.91,-0.33,0.5,1,1,1,1
"12_P2-100-3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.98,1,0.88,1,1,1,1,0.91,1,1,1,0.98,1,1,1,0.98,1,1,0.9,1,1,1,1,1,1,0.99,1,1,0,1,-0.93,0.97,0.11,0.01,1,0.83,1,0.99,0.93,0.92,0.31,0.99,1,0.66,0.64,0.98,0.99
"12_P2-20-3",1,1,1,0.99,0.7,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,0.85,1,1,0.99,0.99,1,0.99,0.99,1,0.99,0.99,1,1,1,1,0.99,1,0.95,0.99,0.98,0.99,0.98,1,1,0.95,1,1,0.99,0.97,0.98,0.87,1,1,1,0.99,0.98,0.05,1,-0.53,0.81,0.99,1,0.8,0.99,0.79,0.84,0.95,0.74,0.99,0.89,0.93,0.97,0.98,1,1,0.99,1,0,0.37,-1,-0.74,0.04,0.14,0.96,0.08,0.56,0.94,0.77,0.8,0.54,0.8,-0.75,1,-0.8,-1
"12_P2-200-3",1,0.93,0.32,1,1,1,1,0.15,1,1,0.99,0.86,0.35,1,0.99,0.83,0.94,0.26,0.97,0.74,-0.4,0.97,0.77,-0.91,-0.44,0.8,-0.44,0.99,0.2,0.9,0.96,0.98,0.95,0.53,-0.59,0.99,0.65,-0.22,0.94,0.98,0.82,0.55,0.88,0.61,0.97,0.97,0.93,0.56,0.92,-0.53,0.64,0.98,0.92,0.94,0.93,0.73,0.88,0.96,0.85,0.98,0.83,0.95,0.93,0.87,0.91,0.85,0.92,0.21,0.94,0.11,0.39,0.93,-0.79,0.37,0.69,-0.93,0.37,0,0.28,0.29,-0.45,0.53,-0.95,0.63,-0.17,-0.03,-0.51,-0.89,-0.06,-0.15,-0.24,-0.05,0.02,0.49
"12_P2-40-3",1,0.98,1,0.92,0.16,1,1,1,1,1,0.99,1,1,1,1,0.87,1,1,0.99,0.89,0.97,1,0.98,0.94,0.99,0.94,0.95,1,0.96,0.98,1,1,0.99,1,0.89,0.97,0.92,0.98,0.96,0.97,0.86,1,0.98,0.89,0.98,0.98,0.92,0.99,0.74,0.72,0.95,1,1,0.92,0.99,-0.54,1,-0.65,0.71,0.93,0.98,0.37,0.97,0.23,0.35,0.89,0.53,0.94,0.66,0.63,0.84,0.86,0.91,0.95,0.88,0.97,-1,0.28,0,-0.77,-0.16,-0.18,0.57,-0.03,0.21,0.93,0.52,0.71,0.32,0.69,-0.9,0.99,-0.97,-0.95
"12_P2-60-3",1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.95,1,1,1,0.99,1,1,0.98,1,0.99,0.99,1,1,1,1,0.99,1,0.92,1,0.99,0.97,0.99,1,1,0.93,1,0.99,1,0.99,0.99,0.89,0.98,1,1,0.99,0.91,0.82,1,0.34,0.46,0.74,0.69,-0.09,0.75,-0.1,-0.25,0.59,0.2,0.95,0.27,0.25,0.91,0.99,1,1,0.98,0.11,-0.74,0.29,-0.77,0,-0.4,0.18,0.83,0.14,0.13,0.86,0.53,0.73,0.48,0.6,-0.13,0.97,-0.1,-0.04
"15_P2-100-3",1,1,0.93,1,1,1,1,0.98,1,1,0.99,0.99,0.98,1,1,0.86,0.98,0.93,0.99,0.87,0.82,0.99,0.9,0.4,0.88,0.94,0.54,0.98,0.56,0.95,1,1,0.99,0.93,0.28,1,0.81,0.62,0.99,0.98,0.91,0.92,0.96,0.85,1,1,0.99,0.92,0.96,0.22,0.85,1,1,0.99,0.96,0.88,0.97,0.9,0.81,0.97,0.65,0.3,0.7,0.28,0.36,-0.15,-0.05,-0.34,0.12,-0.45,0.2,0.04,-0.4,-0.17,-0.44,0.01,0.04,-0.45,-0.16,-0.4,0,-0.62,-0.96,-0.69,-0.94,-0.78,-0.78,-0.57,-0.59,-0.89,0.42,0.79,0.23,0.41
"15_P2-20-3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.82,1,1,0.98,0.95,1,1,0.99,0.99,1,0.97,0.99,0.98,1,0.94,1,1,1,1,0.99,1,0.99,1,1,1,0.97,1,1,0.97,1,1,1,1,0.99,0.99,1,1,1,1,1,0.99,1,0.91,0.96,1,0.99,0.57,0.95,0.54,0.55,0.37,-0.21,0.82,0.41,0.19,0.9,0.51,0.97,0.79,0.72,1,0.14,0.53,-0.18,0.18,-0.62,0,0.67,-1,-0.98,0.66,0.13,0.9,-0.55,0.09,0.9,1,0.85,0.64
"15_P2-200-3",1,0.97,0.63,1,1,1,1,-0.03,1,1,1,1,0.77,1,1,0.97,1,0.96,1,0.98,0.71,1,0.97,-0.41,0.43,0.99,0.53,1,0.93,0.99,1,1,1,0.97,0.08,1,0.97,0.75,1,1,0.98,0.95,1,0.9,1,1,1,0.98,1,0.43,0.99,1,1,1,0.98,0.98,0.98,1,0.98,1,0.98,0.98,0.97,0.94,0.97,0.47,0.94,0.32,0.96,0.57,0.69,0.9,-0.91,0.75,0.8,0.83,0.96,-0.95,0.57,0.83,-0.96,0.67,0,0.51,0.13,0.61,0.11,-0.13,0.26,0.5,0.79,0.98,0.92,0.94
