"","1_P1-100-3","1_P1-20-3","1_P1-200-3","1_P1-40-3","1_P1-60-3","2_P1-100-3","2_P1-20-3","2_P1-200-3","2_P1-40-3","2_P1-60-3","3_P1-20-3","3_P1-200-3","3_P1-40-3","3_P1-60-3","4_P1-90-3","4_P1-20-3","4_P1-100-3","4_P1-200-3","4_P1-40-3","4_P1-60-3","5_P1-20-3","3_P1-90-3","5_P1-100-3","5_P1-200-3","5_P1-40-3","5_P1-90-3","6_P1-100-3","6_P1-20-3","6_P1-200-3","6_P1-40-3","6_P1-60-3","7_P1-20-3","7_P1-40-3","7_P1-60-3","10_P1-20-3","10_P1-40-3","7_P1-105-3","7_P1-200-3","8_P1-100-3","8_P1-115-3","8_P1-20-3","8_P1-200-3","8_P1-40-3","8_P1-60-3","9_P1-100-3","9_P1-120-3","9_P1-20-3","9_P1-200-3","9_P1-40-3","9_P1-60-3","10_P1-100-3","10_P1-120-3","10_P1-200-3","10_P1-60-3","11_P1-100-3","11_P1-20-3","11_P1-200-3","11_P1-40-3","11_P1-60-3","11_P1-70-3","12_P1-100-3","12_P1-20-3","12_P1-200-3","12_P1-40-3","12_P1-60-3","13_P1-100-3","13_P1-20-3","13_P1-200-3","13_P1-40-3","13_P1-60-3","14_P1-100-3","14_P1-20-3","14_P1-200-3","14_P1-40-3","14_P1-60-3","12_P2-100-3","12_P2-20-3","12_P2-200-3","12_P2-40-3","12_P2-60-3","15_P2-100-3","15_P2-20-3","15_P2-200-3","15_P2-40-3","15_P2-60-3","17_P2-100-3","17_P2-20-3","17_P2-200-3","17_P2-40-3","17_P2-60-3","8_P2-20-3","8_P2-200-3","8_P2-40-3","8_P2-60-3"
"5_P1-40-3",1,1,0.75,0.4,0.98,0.96,0.22,0.75,-0.11,1,-0.61,0.99,0.36,0.96,0.99,-1,1,0.98,-0.73,-0.52,-1,0.94,0.59,-0.32,0,-1,0.55,0.1,0.81,-0.71,0.82,-0.38,-0.78,-0.29,-0.65,0.61,0.6,-0.29,-0.98,0.64,-1,1,0.09,-0.94,-0.02,0.67,-0.77,0.8,-0.23,0.2,0.93,0.98,1,0.22,0.95,0.97,0.91,0.99,0.76,0.99,1,1,1,1,1,1,1,0.96,1,0.99,0.99,1,0.88,1,1,1,1,-0.44,0.99,1,0.88,1,0.43,1,1,1,1,0.86,0.99,1,0.98,1,1,0.96
"5_P1-90-3",0.98,0.96,0.91,0.85,0.98,0.81,0.76,0.98,0.59,0.93,0.04,0.92,0.5,0.05,0.74,-0.98,0.94,0.92,-0.66,-0.89,-0.85,0.53,0.49,0.75,-1,0,0.71,-0.55,0.74,-0.9,-0.51,-0.94,-0.58,-0.37,0.5,0.14,0.22,0.46,-0.49,-0.08,-0.39,0.87,-0.44,-0.34,0.54,0.39,-0.22,0.87,-0.04,-0.19,0.68,0.95,0.99,0.29,0.94,0.8,0.93,0.9,0.63,0.96,1,0.98,1,0.94,0.98,0.98,0.96,0.98,0.99,0.99,0.72,1,0.96,1,1,1,0.99,0.8,0.94,1,0.94,0.97,0.99,0.99,0.99,1,0.98,0.97,0.98,1,0.93,1,0.97,0.98
"6_P1-100-3",0.94,1,0.6,1,1,0.85,1,0.7,1,1,0.99,0.84,0.87,0.99,0.55,0.82,0.13,-0.17,0.99,0.06,0.48,-0.02,-0.39,-0.16,0.55,0.71,0,0.94,0.17,0.45,0.19,0.95,0.78,0.52,0.21,0.97,-0.39,-0.14,0.57,0.61,0.6,0.3,0.86,0.18,0.47,0.43,0.72,0.39,0.75,-0.3,0.58,0.69,0.8,0.88,0.79,0.84,0.88,0.91,0.45,0.87,0.99,0.95,0.98,0.9,0.97,0.91,0.94,0.75,0.97,0.81,0.56,0.98,-0.04,0.92,0.92,0.99,0.99,-0.44,0.95,0.98,0.54,0.99,0.53,0.99,0.95,0.97,0.89,0.72,0.97,0.97,0.88,0.89,0.99,0.99
"6_P1-20-3",0.85,0.86,0.87,0.88,0.99,0.98,0.97,1,0.74,0.96,0.82,1,0.96,0.93,0.87,-0.81,0.98,1,-0.37,-0.39,0.41,0.96,0.73,1,0.1,-0.55,0.94,0,0.9,-1,-0.01,0.01,0.16,0.74,0.92,0.86,0.89,0.95,0.53,0.45,0.42,0.99,0.45,0.37,0.92,0.81,0.7,0.99,0.69,0.69,0.95,1,1,0.93,0.99,0.95,1,0.97,0.85,0.98,1,1,1,0.98,0.99,1,1,0.99,1,1,0.8,1,0.99,1,1,1,1,0.99,1,1,0.98,0.98,1,0.99,1,1,1,1,1,1,1,1,1,0.99
"6_P1-200-3",0.66,0.95,-0.1,1,1,1,1,0.57,1,1,1,-0.22,0.98,0.99,0.99,0.92,0.99,-0.64,1,0.51,0.82,0.86,0.79,-0.16,0.81,0.74,0.17,0.9,0,0.96,0.97,0.68,0.69,0.76,0.75,0.92,-0.08,-0.79,0.71,0.98,0.71,-1,0.79,0.16,0.93,0.31,0.82,-0.66,0.8,-0.74,0.58,0.97,-0.35,0.89,0.78,0.89,0.15,0.95,0.39,0.94,1,0.96,0.98,0.88,0.98,0.85,0.88,0.66,0.97,0.92,-0.27,0.96,0.31,0.96,0.82,1,0.99,0.2,0.96,0.99,0.56,1,0.93,1,0.98,0.99,0.98,0.93,0.98,1,0.93,0.94,1,1
"6_P1-40-3",0.96,1,1,0.99,0.94,0.86,0.78,1,0.58,0.97,0.45,0.99,0.47,0.44,-0.13,-0.82,0.39,1,-0.54,-0.84,-0.45,0.43,0,0.92,-0.71,-0.9,0.45,-1,0.96,0,-1,-0.52,-0.65,-0.4,0.61,0.49,0.19,0.95,-0.11,-0.44,-0.2,0.99,-0.07,-0.11,0.17,0.43,0.36,0.98,0.13,0.69,0.82,0.87,1,0.61,0.98,0.86,1,0.72,0.79,0.86,1,0.99,1,0.94,0.94,0.98,0.99,1,0.99,1,0.95,1,0.97,1,1,1,0.99,0.9,0.98,0.99,0.95,0.94,0.99,0.97,0.99,1,0.99,0.98,0.98,1,0.98,1,0.98,0.95
"6_P1-60-3",1,1,1,1,1,0.75,1,1,1,1,0.99,1,1,1,-0.11,-0.78,0.25,1,0.76,-0.97,0.89,-0.29,-0.84,0.99,0.82,-0.51,0.19,-0.01,0.97,-1,0,0.86,0.74,0.96,0.98,0.99,-0.3,0.92,0.59,0.45,0.75,1,0.95,0.6,0.62,0.94,0.89,0.96,0.95,0.88,1,0.9,1,0.99,0.96,1,1,1,0.82,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7_P1-20-3",1,1,0.95,-0.37,0.86,0.98,-0.95,1,-0.95,0.97,-1,0.98,-0.44,0.25,0.99,-0.91,1,0.97,0,-0.2,-0.52,0.94,0.88,0.97,-0.38,-0.94,0.95,0.01,0.68,-0.52,0.86,0,-1,-1,-0.66,-1,0.19,-0.25,-1,0.72,-1,0.98,-1,-1,-0.43,-0.46,-1,-0.12,-1,-0.24,0.35,0.97,0.67,-0.99,0.83,0.98,-0.05,0.99,0.79,0.99,1,1,0.99,1,1,0.96,1,0.86,1,0.99,0.89,1,0.98,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7_P1-40-3",1,0.88,1,-0.71,0.28,0.9,-0.79,1,-0.97,0.79,-0.99,1,-0.58,-0.64,0.97,-0.88,1,0.98,0.27,-0.11,-0.64,0.9,0.67,0.93,-0.78,-0.58,0.78,0.16,0.69,-0.65,0.74,-1,0,-1,-0.72,-1,0.38,-0.22,-1,0.48,-1,0.98,-1,-1,-0.81,-0.74,-1,0.53,-1,-0.02,0.71,0.87,0.99,-0.97,0.79,0.74,0.91,0.93,0.74,0.97,1,1,0.99,0.98,1,0.95,0.99,0.96,1,0.99,0.88,1,0.97,1,1,1,1,0.95,0.99,1,0.99,1,1,1,1,1,1,1,1,1,0.96,1,1,0.99
"7_P1-60-3",1,0.98,0.95,-0.23,0.8,0.93,-0.72,1,-0.81,0.88,-0.93,1,-0.64,-0.46,0.99,-0.48,1,0.98,0.83,-0.18,-0.25,0.88,0.49,0.74,-0.29,-0.37,0.52,0.74,0.76,-0.4,0.96,-1,-1,0,-0.74,-0.94,0.05,-0.51,-1,0.79,-1,0.98,-1,-1,-0.69,-0.43,-0.97,0.57,-1,-0.2,0.76,0.93,0.99,-0.97,0.81,0.87,0.87,0.99,0.72,0.99,1,1,0.99,1,1,0.99,1,0.89,1,0.99,0.89,1,0.94,1,1,1,1,0.53,1,1,0.93,1,0.97,1,1,1,1,0.98,0.99,1,0.99,1,1,1
