"","1_P1-100-8","1_P1-20-8","1_P1-200-8","1_P1-40-8","1_P1-60-8","2_P1-100-8","2_P1-20-8","2_P1-200-8","2_P1-40-8","2_P1-60-8","3_P1-20-8","3_P1-200-8","3_P1-40-8","3_P1-60-8","4_P1-90-8","4_P1-20-8","4_P1-100-8","4_P1-200-8","4_P1-40-8","4_P1-60-8","3_P1-90-8","5_P1-100-8","5_P1-20-8","5_P1-200-8","5_P1-40-8","5_P1-90-8","6_P1-100-8","6_P1-20-8","6_P1-200-8","6_P1-40-8","6_P1-60-8","7_P1-20-8","7_P1-40-8","10_P1-20-8","7_P1-105-8","7_P1-200-8","7_P1-60-8","8_P1-100-8","8_P1-20-8","8_P1-200-8","8_P1-40-8","8_P1-60-8","9_P1-100-8","9_P1-120-8","9_P1-20-8","9_P1-200-8","9_P1-40-8","9_P1-60-8","10_P1-100-8","10_P1-120-8","10_P1-200-8","10_P1-40-8","10_P1-60-8","11_P1-100-8","11_P1-20-8","11_P1-200-8","11_P1-40-8","11_P1-60-8","11_P1-70-8","12_P1-100-8","12_P1-20-8","12_P1-200-8","12_P1-40-8","12_P1-60-8","13_P1-100-8","13_P1-20-8","13_P1-200-8","13_P1-40-8","13_P1-60-8","14_P1-100-8","14_P1-20-8","14_P1-200-8","14_P1-40-8","14_P1-60-8","12_P2-100-8","12_P2-20-8","12_P2-200-8","12_P2-40-8","12_P2-60-8","15_P2-100-8","15_P2-20-8","15_P2-200-8","15_P2-40-8","15_P2-60-8","17_P2-100-8","17_P2-20-8","17_P2-200-8","17_P2-40-8","17_P2-60-8","8_P2-100-8","8_P2-20-8","8_P2-200-8","8_P2-40-8","8_P2-60-8"
"14_P1-200-8",1,1,-0.89,1,1,0.88,0.96,1,0.98,1,1,0.42,1,1,0.98,1,0.9,0.52,0.97,0.96,1,0.92,0.91,-0.29,0.85,0.94,-0.92,0.99,0.48,1,0.99,0.85,0.94,0.99,0.97,-0.91,1,0.98,0.96,0.51,0.88,0.66,1,0.9,0.98,0.97,1,0.99,0.67,0.97,0.99,1,1,0,0.99,1,1,0.99,1,0.99,0.79,0.95,0.88,0.98,0.78,0.62,0.36,0.94,0.88,0.23,0.76,0,0.14,0.14,0.98,0.98,0.07,0.95,0.93,0.9,0.99,0.96,0.97,0.98,0.75,0.96,0.68,1,0.89,1,0.78,0.51,0.98,1
"14_P1-40-8",1,1,0.36,1,1,1,1,1,1,1,1,0.96,1,1,1,1,0.99,0.99,1,1,1,1,1,1,1,0.99,0.97,1,0.96,1,1,1,1,1,1,0.6,1,1,1,0.78,0.98,0.78,1,0.99,1,1,1,1,0.95,0.99,1,1,1,0.93,0.99,1,1,0.98,1,0.95,0.43,0.99,0.28,0.68,0,0.21,-0.32,-0.27,-0.32,-0.98,-1,0.14,0,-1,1,0.95,1,0.73,0.8,0.53,0.71,0.87,0.49,0.35,-0.7,-0.59,0.7,-0.57,-0.77,0.99,0.98,1,1,0.99
"14_P1-60-8",1,1,0.75,1,1,0.99,0.99,1,1,1,1,0.91,1,1,1,1,0.98,1,0.99,1,1,0.99,0.99,1,0.98,0.98,0.98,0.99,0.94,1,1,0.99,1,1,1,0.8,1,0.99,1,0.8,0.96,0.89,1,0.99,1,1,1,1,0.98,0.98,1,1,1,0.98,0.99,1,1,0.97,1,0.85,0.14,0.98,0.14,0.46,-0.18,-0.41,-0.22,-0.81,-0.87,-1,-1,0.14,-1,0,1,0.9,1,0.75,0.78,0.22,0.37,0.23,-0.04,0.02,-0.65,-0.75,0.29,-0.83,-0.93,0.95,0.95,0.99,0.97,0.99
"12_P2-100-8",1,1,0.93,1,1,1,1,0.99,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.94,1,1,1,1,1,0.99,0.92,1,1,1,0.55,1,0.98,1,1,1,1,1,1,0.99,0.99,1,1,1,0.64,1,0.68,1,0.99,1,0.97,0.98,0.93,0.96,0.99,0.98,1,0.84,1,1,0.99,1,0.98,1,1,0,1,-0.98,0.94,-0.15,0.11,1,-0.72,1,0.85,0.58,1,-0.12,1,1,0.9,-0.04,-0.25,1,0.98
"12_P2-20-8",1,0.97,0.99,0.97,0.98,0.99,0.98,1,1,1,0.99,1,1,1,1,1,1,1,0.98,0.92,1,1,1,1,0.94,0.94,1,0.97,1,1,0.98,0.99,1,0.97,1,0.99,1,0.99,0.99,0.99,0.96,0.85,1,1,0.97,1,1,1,0.93,0.99,1,0.98,0.99,0.98,-0.49,1,-0.62,0.52,1,0.83,-0.78,1,-0.73,-0.09,0.9,-0.22,0.95,-0.24,0.75,0.98,0.92,0.98,0.95,0.9,1,0,1,-1,-0.87,0.86,-0.67,1,0.32,0.59,0.68,0.48,0.98,0.6,0.86,0.75,-0.24,1,-0.64,-0.84
"12_P2-200-8",1,1,0.27,1,1,1,1,0.99,1,1,1,0.73,1,1,1,1,1,0.92,1,1,1,1,1,0.76,1,1,0.74,1,0.52,1,1,1,1,1,1,-0.26,1,1,1,0.23,1,0.97,1,0.99,1,0.93,1,1,0.99,1,0.96,1,1,0.74,1,0.65,1,1,1,1,1,0.97,1,1,0.97,1,0.84,1,1,0.9,1,0.07,1,1,-0.98,1,0,0.99,0.92,0.25,1,-0.61,1,0.79,0.55,1,-0.48,1,1,0.99,-0.36,-0.8,1,0.99
"12_P2-40-8",1,0.48,0.96,0.9,0.87,0.97,0.89,1,0.91,0.98,0.94,0.99,0.97,0.99,1,0.93,0.97,1,0.79,0.89,1,1,0.91,1,0.73,0.83,0.99,0.89,0.97,0.96,0.94,0.83,0.86,0.47,0.93,0.91,0.97,0.9,0.75,0.54,0.68,0.34,1,0.96,0.4,0.99,0.75,0.87,0.72,0.85,1,0.68,0.67,0.84,-0.81,0.99,-0.91,0.36,0.93,0.76,-0.33,0.93,-0.44,-0.17,0.64,-0.12,0.71,-0.28,0.25,0.86,0.73,0.95,0.73,0.75,0.94,-1,0.99,0,-0.87,0.78,-0.69,0.97,-0.22,0.27,0.38,0.31,0.85,0.2,0.45,0.5,-0.82,0.99,-0.93,-0.98
"12_P2-60-8",0.92,0.99,0.99,0.97,0.95,0.77,0.99,1,0.99,0.97,0.99,0.99,1,1,0.99,0.96,1,1,0.91,0.85,1,0.99,0.99,1,0.96,0.81,1,0.85,0.99,0.9,0.87,0.98,1,0.99,0.94,0.98,1,0.99,0.96,0.8,0.9,0.75,1,0.98,0.97,1,1,0.99,0.9,0.92,1,0.99,0.96,0.51,0.56,0.98,0.13,-0.31,0.21,-0.48,-0.41,0.26,-0.36,-0.7,-0.06,-0.25,0.16,-0.63,-0.45,0.68,0.88,0.93,0.8,0.78,-0.15,-0.87,0.92,-0.87,0,-0.4,-0.23,0.43,-0.27,-0.37,0.48,0.4,0.72,0.48,0.36,-0.56,0.01,0.9,-0.06,-0.43
"15_P2-100-8",1,1,0.99,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.95,1,1,1,0.58,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.98,1,0.97,0.99,0.73,0.4,0.93,0.25,0.51,0.29,0.79,-0.43,0.57,0.54,0.27,0.74,0.9,0.53,0.22,0.11,0.86,0.25,0.78,-0.4,0,0.63,-1,0.19,-0.8,-0.49,0.47,-0.56,0.53,0.45,0.9,0.66,0.7,0.93,0.88
"15_P2-20-8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.87,1,1,1,1,0.97,0.95,1,0.96,1,1,0.98,1,1,1,1,1,1,1,1,1,0.99,0.93,1,1,1,1,1,1,0.99,0.98,1,1,1,1,0.46,1,0.45,0.78,1,0.92,-0.93,1,-0.88,-0.45,0.87,-0.94,0.86,-0.7,0.37,0.96,0.35,0.99,0.71,0.37,1,-0.67,1,-0.69,-0.23,0.63,0,1,-0.79,-0.61,0.01,-0.57,0.97,-0.51,0.09,0.89,0.8,1,0.62,0.4
"15_P2-200-8",1,1,0.95,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.9,1,1,1,0.77,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,0.95,0.86,0.93,0.72,0.98,0.24,0.99,-0.88,1,1,0.81,0.95,0.96,0.87,0.23,-0.72,1,-0.61,0.97,0.43,-1,1,0,0.98,0.51,-0.62,0.9,-1,0.94,0.89,1,0.78,0.62,1,1
"15_P2-40-8",1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.98,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.98,0.98,0.88,1,1,1,1,1,1,0.99,0.99,1,1,1,1,0.97,1,0.98,0.83,1,0.87,-0.2,0.99,-0.48,0.29,0.67,0.31,0.64,0.44,0.85,0.68,0.62,0.97,0.49,-0.04,1,0.32,1,-0.22,-0.27,0.19,-0.79,0.98,0,-0.98,-0.38,-0.24,0.85,-0.1,0.16,0.91,0.81,1,0.88,0.75
"15_P2-60-8",1,1,0.99,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.88,1,0.96,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,0.91,1,0.79,-0.19,1,-0.56,0.25,0.52,0.47,0.31,0.41,0.56,0.34,0.63,0.98,0.35,0.02,0.85,0.59,0.79,0.27,-0.37,-0.8,-0.61,0.51,-0.98,0,-0.66,-0.22,0.25,-0.04,0.02,0.95,0.63,0.89,0.92,0.8
"17_P2-100-8",1,1,0.82,1,1,1,1,1,1,1,1,0.7,1,1,1,1,0.93,0.98,0.99,1,1,0.98,0.99,0.98,0.96,0.92,0.88,1,0.8,0.99,0.99,0.99,0.98,0.99,0.96,0.57,1,0.99,0.98,-0.05,0.96,0.64,1,0.86,0.84,0.9,1,1,0.9,0.92,0.96,0.99,1,0.9,0.9,0.98,0.97,0.86,0.97,0.73,0.27,0.9,0.19,0.41,-0.12,0.14,-0.22,-0.03,-0.35,-0.84,-0.36,0.75,-0.7,-0.65,0.58,0.68,0.55,0.38,0.48,-0.49,0.01,-0.62,-0.38,-0.66,0,-0.8,-0.93,-0.88,-1,0.64,0.24,0.46,0.87,0.51
"17_P2-20-8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,0.97,1,1,1,1,1,1,1,0.99,1,1,1,1,0.95,1,0.97,0.93,1,0.8,-0.3,0.99,-0.39,0.01,0.71,-0.32,0.54,-0.12,0.17,0.09,-0.77,0.96,-0.59,-0.75,1,0.48,1,0.31,0.4,0.47,-0.57,0.9,-0.24,-0.22,-0.8,0,0.44,-1,-1,0.86,0.86,1,0.86,0.81
"17_P2-200-8",1,1,0.83,1,1,1,1,1,1,1,1,0.61,1,1,1,1,0.97,0.98,1,1,1,0.99,0.99,0.96,0.99,0.98,0.82,1,0.56,1,1,0.99,0.99,0.99,0.97,0.45,1,0.98,0.95,-0.34,0.99,0.72,1,0.87,0.92,0.87,1,1,0.96,0.99,0.94,1,1,0.91,1,0.89,1,1,1,0.96,0.96,0.88,0.96,0.98,0.2,0.98,-0.19,0.99,0.95,-0.07,0.82,0.68,0.7,0.29,-0.12,0.98,-0.48,0.85,0.72,-0.56,0.97,-1,0.85,0.25,-0.93,0.44,0,0.46,0.12,0.97,0.44,-0.09,0.98,0.91
"17_P2-40-8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,1,0.99,0.99,1,1,1,1,1,1,1,1,1,0.97,1,1,0.99,0.85,1,0.81,1,1,1,1,1,1,0.99,0.97,1,1,1,0.98,0.95,1,0.98,0.95,1,0.81,-0.33,0.99,-0.42,0.1,0.71,-0.21,0.46,0.02,0.37,0.07,-0.7,1,-0.57,-0.83,1,0.6,1,0.2,0.48,0.53,-0.51,0.94,-0.1,-0.04,-0.88,-1,0.46,0,-1,0.81,0.85,1,0.88,0.84
"17_P2-60-8",1,1,0.88,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.92,1,1,1,0.73,0.99,0.91,1,1,1,1,1,1,0.99,0.99,1,1,1,0.99,0.99,1,1,0.92,1,0.75,-0.29,0.97,-0.44,0.2,0.47,0.14,0.08,0.06,0.2,-0.25,-0.7,0.89,-0.77,-0.93,1,0.86,1,0.45,0.36,0.45,0.09,0.89,0.16,0.02,-1,-1,0.12,-1,0,0.9,0.91,0.99,0.98,0.95
"8_P2-100-8",0.86,1,1,1,0.95,0.46,1,1,1,0.99,1,1,1,1,0.85,1,0.59,1,0.97,0.25,0.85,0.8,1,1,0.96,0.86,0.97,0.9,1,0.91,0.49,1,1,1,-0.29,0.99,1,0.94,0.99,0.88,0.97,0.85,0.98,0.96,0.99,1,1,1,0.24,0.16,1,1,1,0.37,0.89,0.99,0.49,-0.77,-0.78,0.7,0.55,0.87,0.51,0.72,0.96,0.94,0.9,0.87,0.97,0.98,1,1,0.99,0.95,0.9,0.75,0.99,0.5,-0.56,0.9,0.89,1,0.91,0.95,0.64,0.86,0.97,0.81,0.9,0,0.79,0.96,0.77,0.53
"8_P2-20-8",1,0.97,0.88,0.87,1,1,0.97,1,1,1,0.84,0.94,1,1,1,0.98,0.97,1,0.92,0.94,1,1,0.98,1,0.83,0.91,0.97,0.99,0.99,1,0.98,0.95,0.95,0.89,0.98,0.82,1,0.98,0.84,0.61,0.83,0.5,1,0.92,0.82,0.99,0.98,0.99,0.75,0.97,1,0.9,0.97,0.94,-0.2,1,0.58,0.94,1,1,0.68,0.97,0.62,0.92,0.95,0.9,0.95,0.96,1,0.91,0.99,0.78,0.98,0.95,-0.04,-0.24,-0.36,-0.82,0.01,0.66,0.8,0.78,0.81,0.63,0.24,0.86,0.44,0.85,0.91,0.79,0,0.28,-0.87,-0.79
"8_P2-200-8",1,1,0.41,1,1,1,1,0.81,1,1,1,0.5,1,1,1,1,0.99,0.57,1,1,1,1,0.97,-0.24,1,1,0.82,1,-0.05,1,1,1,0.99,1,0.98,0.31,1,1,0.99,-0.33,1,0.98,1,0.96,0.99,0.21,1,1,0.99,0.99,0.28,1,1,0.86,1,0.44,1,1,1,0.99,1,0.95,1,1,0.81,1,0.93,1,1,0.92,1,0.51,1,0.99,-0.25,1,-0.8,0.99,0.9,0.7,1,0.62,1,0.89,0.46,1,-0.09,1,0.99,0.96,0.28,0,0.98,0.94
"8_P2-40-8",1,0.91,0.98,0.88,0.13,1,0.99,1,1,1,0.94,1,1,1,1,0.99,0.99,1,0.94,0.87,1,1,0.98,1,0.8,0.92,1,0.98,1,1,0.98,0.97,0.98,0.94,0.99,0.98,1,0.98,0.96,0.96,0.86,0.69,1,1,0.97,1,0.98,0.99,0.85,0.99,1,0.96,0.93,0.98,-0.88,1,-0.77,0.72,1,0.98,0.26,1,0.2,0.84,0.99,0.77,0.99,0.9,1,1,1,0.98,1,0.97,1,-0.64,1,-0.93,-0.06,0.93,0.62,1,0.88,0.92,0.87,0.86,0.98,0.88,0.98,0.77,-0.87,0.98,0,-1
"8_P2-60-8",1,0.94,0.97,0.86,0.24,0.94,0.99,1,1,0.99,0.99,0.99,1,1,1,1,0.99,1,0.92,0.69,1,1,1,1,0.92,0.86,1,0.97,1,0.99,0.94,0.97,0.99,0.94,0.95,0.96,1,0.94,0.95,0.94,0.8,0.63,1,0.99,0.93,1,0.99,0.99,0.57,0.9,1,0.95,0.97,0.92,-0.91,1,-0.83,0.74,1,0.99,0.36,1,0.21,0.79,0.98,0.77,0.98,0.84,0.99,0.99,1,1,0.99,0.99,0.98,-0.84,0.99,-0.98,-0.43,0.88,0.4,1,0.75,0.8,0.51,0.81,0.91,0.84,0.95,0.53,-0.79,0.94,-1,0
