"","1_P1-100-8","1_P1-20-8","1_P1-200-8","1_P1-40-8","1_P1-60-8","2_P1-100-8","2_P1-20-8","2_P1-200-8","2_P1-40-8","2_P1-60-8","3_P1-20-8","3_P1-200-8","3_P1-40-8","3_P1-60-8","4_P1-90-8","4_P1-20-8","4_P1-100-8","4_P1-200-8","4_P1-40-8","4_P1-60-8","3_P1-90-8","5_P1-100-8","5_P1-20-8","5_P1-200-8","5_P1-40-8","5_P1-90-8","6_P1-100-8","6_P1-20-8","6_P1-200-8","6_P1-40-8","6_P1-60-8","7_P1-20-8","7_P1-40-8","10_P1-20-8","7_P1-105-8","7_P1-200-8","7_P1-60-8","8_P1-100-8","8_P1-20-8","8_P1-200-8","8_P1-40-8","8_P1-60-8","9_P1-100-8","9_P1-120-8","9_P1-20-8","9_P1-200-8","9_P1-40-8","9_P1-60-8","10_P1-100-8","10_P1-120-8","10_P1-200-8","10_P1-40-8","10_P1-60-8","11_P1-100-8","11_P1-20-8","11_P1-200-8","11_P1-40-8","11_P1-60-8","11_P1-70-8","12_P1-100-8","12_P1-20-8","12_P1-200-8","12_P1-40-8","12_P1-60-8","13_P1-100-8","13_P1-20-8","13_P1-200-8","13_P1-40-8","13_P1-60-8","14_P1-100-8","14_P1-20-8","14_P1-200-8","14_P1-40-8","14_P1-60-8","12_P2-100-8","12_P2-20-8","12_P2-200-8","12_P2-40-8","12_P2-60-8","15_P2-100-8","15_P2-20-8","15_P2-200-8","15_P2-40-8","15_P2-60-8","17_P2-100-8","17_P2-20-8","17_P2-200-8","17_P2-40-8","17_P2-60-8","8_P2-100-8","8_P2-20-8","8_P2-200-8","8_P2-40-8","8_P2-60-8"
"11_P1-200-8",0.98,1,0.86,1,1,1,1,0.2,1,1,1,0.83,1,1,1,1,1,0.75,1,1,1,1,1,0.22,1,1,0.76,1,0.19,1,1,1,1,1,0.94,0.32,1,0.98,0.99,-0.62,0.98,0.82,1,0.95,0.97,-0.37,1,1,0.99,0.99,-0.16,1,1,-0.07,0.98,0,0.98,0.95,0.74,0.34,1,-0.24,0.98,0.99,0.94,1,0.99,1,1,0.97,1,1,1,1,0.68,1,0.65,0.99,0.98,0.98,1,0.99,1,1,0.98,1,0.89,1,1,0.99,1,0.44,1,1
"11_P1-40-8",1,1,0.99,0.98,0.94,0.94,1,1,1,1,1,1,1,1,0.99,1,0.96,1,0.95,0.6,1,1,1,1,0.97,0.93,0.99,0.95,1,0.98,0.91,0.95,1,1,0.84,0.89,1,0.9,0.93,0.54,0.84,0.14,1,0.86,0.99,1,1,1,0.11,0.77,1,0.97,1,0.84,-1,0.98,0,-0.8,0.97,0.8,-0.43,0.95,-0.56,0.3,0.98,0.17,0.99,0.67,1,1,1,1,1,1,1,-0.62,1,-0.91,0.13,1,0.45,1,0.98,0.99,0.97,0.97,1,0.98,1,0.49,0.58,1,-0.77,-0.83
"11_P1-60-8",0.96,1,0.99,1,0.91,0.85,0.99,1,0.99,0.99,1,1,1,1,0.94,0.99,0.85,1,0.9,0.42,0.97,0.89,0.99,1,0.95,0.87,0.99,0.79,1,0.87,0.59,0.99,1,1,0.42,0.95,1,0.94,0.98,0.62,0.89,0.71,1,0.96,0.99,1,1,1,0.43,0.41,1,0.99,0.99,0.52,0.63,0.95,-0.8,0,-1,-0.11,-0.05,0.81,-0.33,0.02,0.88,0.85,0.93,0.75,0.91,0.99,1,0.99,0.98,0.97,0.99,0.52,1,0.36,-0.31,0.97,0.78,1,0.83,0.91,0.86,0.93,1,0.95,0.92,-0.77,0.94,1,0.72,0.74
"11_P1-70-8",1,1,0.99,1,1,0.8,1,1,1,1,1,1,1,1,0.96,1,0.94,1,1,0.83,1,0.96,1,1,1,0.98,0.99,0.99,1,0.96,0.79,1,1,1,0.2,0.92,1,0.99,1,0.66,1,0.93,1,0.95,1,1,1,1,0.77,0.3,1,1,1,-0.68,1,0.74,0.97,-1,0,0.22,0.47,0.83,0.64,0.65,0.97,1,0.96,1,1,1,1,1,1,1,1,1,1,0.93,0.21,0.99,1,1,1,1,0.97,1,1,1,1,-0.78,1,1,1,1
"12_P1-100-8",0.99,1,0.95,1,1,0.87,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.94,1,1,1,1,1,0.97,1,0.93,0.99,0.99,0.94,1,1,1,0.96,0.9,1,0.99,1,0.54,0.94,0.83,1,0.97,1,1,1,1,0.93,0.9,1,1,1,0.11,0.98,0.34,0.8,-0.11,0.22,0,-0.54,-0.72,-0.75,-0.81,0.4,0.8,-0.13,0.62,0.25,0.94,0.98,0.99,0.95,0.85,0.97,0.83,1,0.76,-0.48,0.73,0.92,0.95,0.87,0.79,0.73,0.8,0.96,0.81,0.75,0.7,1,0.99,0.98,0.99
"12_P1-20-8",1,1,0.94,1,0.95,0.99,0.96,1,0.98,1,1,0.99,1,1,1,0.98,0.98,1,0.9,0.84,1,0.99,0.99,1,0.97,0.95,1,0.89,0.99,0.98,0.98,0.99,1,1,0.99,0.92,1,1,0.99,0.89,0.97,0.86,1,0.99,1,1,1,1,0.98,0.96,1,1,0.99,0.83,0.8,1,-0.43,-0.05,0.47,-0.54,0,0.79,-1,-1,0.38,-0.96,0.48,-0.98,-0.98,0.66,0.45,0.79,0.43,0.14,0.98,-0.78,1,-0.33,-0.41,0.4,-0.93,0.86,-0.2,-0.19,0.27,-0.3,0.96,-0.33,-0.29,0.55,0.68,1,0.26,0.36
"12_P1-200-8",0.99,1,0.9,1,1,0.97,1,0.99,1,1,1,1,1,1,1,1,0.99,1,1,0.99,1,0.99,1,0.99,1,0.99,0.94,1,0.97,1,0.99,0.99,1,1,0.88,0.84,1,1,0.99,-0.43,0.99,0.08,1,0.71,0.94,0.86,1,0.99,0.84,0.93,0.97,0.99,1,-0.35,0.98,-0.24,0.95,0.81,0.83,-0.72,0.79,0,0.68,0.76,0.56,0.99,0.62,0.98,0.98,0.91,1,0.95,0.99,0.98,0.93,1,0.97,0.93,0.26,0.93,1,0.93,0.99,1,0.9,0.99,0.88,0.99,0.97,0.87,0.97,0.95,1,1
"12_P1-40-8",0.99,1,0.99,1,0.97,0.98,0.99,1,0.98,1,1,1,1,1,1,0.98,0.99,1,0.92,0.82,1,0.99,1,1,0.99,0.96,1,0.86,1,0.97,0.97,1,1,1,0.98,0.96,1,1,1,0.88,0.98,0.9,1,0.99,1,1,1,1,0.99,0.94,1,1,0.99,0.87,0.69,0.98,-0.56,-0.33,0.64,-0.75,-1,0.68,0,-1,0.22,-0.92,0.42,-0.98,-0.96,0.55,0.38,0.88,0.28,0.14,0.96,-0.73,1,-0.44,-0.36,0.25,-0.88,0.72,-0.48,-0.56,0.19,-0.39,0.96,-0.42,-0.44,0.51,0.62,1,0.2,0.21
"12_P1-60-8",1,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,0.91,0.89,1,1,1,1,1,0.98,1,0.92,1,0.99,0.96,1,1,1,0.99,0.99,1,1,1,0.89,0.98,0.89,1,0.99,1,1,1,1,0.98,0.94,1,1,1,0.91,0.95,0.99,0.3,0.02,0.65,-0.81,-1,0.76,-1,0,0.43,-0.69,0.1,-0.8,-0.97,0.88,0.73,0.98,0.68,0.46,0.99,-0.09,1,-0.17,-0.7,0.51,-0.45,0.98,0.29,0.25,0.41,0.01,0.98,0.1,0.2,0.72,0.92,1,0.84,0.79
"13_P1-100-8",1,1,0.78,1,1,0.99,1,1,1,1,1,0.98,1,1,1,1,0.99,1,1,1,1,1,0.94,0.98,1,0.99,0.95,1,0.71,1,1,0.99,0.96,0.98,0.95,0.73,1,0.99,0.93,-0.36,0.97,0.78,1,0.81,0.95,0.74,1,0.99,0.95,0.97,0.92,1,1,0.85,0.98,0.94,0.98,0.88,0.97,0.4,0.38,0.56,0.22,0.43,0,0.2,-0.97,-0.7,-0.99,-0.24,0.71,0.78,0,-0.18,0.98,0.9,0.97,0.64,-0.06,0.29,0.87,0.24,0.67,0.52,-0.12,0.71,0.2,0.71,0.47,0.96,0.95,0.81,0.99,0.98
"13_P1-20-8",1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,0.99,1,0.96,1,1,1,1,1,1,0.98,0.99,1,1,1,0.96,0.82,1,0.17,0.85,1,0.8,-0.96,0.99,-0.92,-0.69,0.2,0,0.13,-1,-1,0.82,-0.03,0.62,0.21,-0.41,1,-0.22,1,-0.12,-0.25,0.79,-0.94,0.99,0.31,0.47,0.14,-0.32,0.98,-0.21,0.14,0.94,0.9,1,0.77,0.77
"13_P1-200-8",1,1,0.79,1,1,0.96,1,1,1,1,1,0.95,1,1,1,1,0.99,0.99,1,1,1,0.98,0.99,1,0.99,0.98,0.91,1,0.63,1,1,0.98,1,1,0.96,0.62,1,1,0.97,-0.06,0.97,0.78,1,0.91,0.99,0.97,1,1,0.97,0.97,1,1,1,0.82,0.99,0.99,0.99,0.93,0.96,-0.13,0.48,0.62,0.42,0.1,-0.97,0.13,0,-0.53,-0.99,-0.66,0.41,0.36,-0.32,-0.22,0.84,0.95,0.84,0.71,0.16,-0.43,0.86,-0.88,0.64,0.31,-0.22,0.54,-0.19,0.46,0.08,0.9,0.95,0.93,0.99,0.98
"13_P1-40-8",1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.96,1,1,1,1,1,1,0.99,0.99,1,1,1,0.99,0.87,1,0.67,0.75,1,0.62,-0.98,0.98,-0.98,-0.8,-0.7,-1,-0.53,0,-1,0.6,-0.13,0.94,-0.27,-0.81,1,-0.24,1,-0.28,-0.63,0.57,-0.7,1,0.44,0.41,-0.03,-0.12,0.99,0.02,0.06,0.87,0.96,1,0.9,0.84
"13_P1-60-8",1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0.98,1,0.97,1,1,1,1,1,1,1,1,1,1,1,0.98,0.99,1,1,0.91,1,0.25,-0.98,0.98,-0.96,-0.97,-0.99,-1,-0.99,-1,0,0.49,0.08,0.88,-0.32,-0.87,1,0.75,1,0.25,-0.45,0.54,0.37,1,0.85,0.56,-0.35,0.17,0.95,0.37,0.2,0.97,1,1,1,0.99
"14_P1-100-8",1,1,-0.17,1,1,1,1,1,1,1,1,0.86,1,1,1,1,0.99,0.93,1,1,1,1,1,1,1,0.99,0.69,1,0.91,1,1,0.97,1,1,0.96,0.01,1,0.98,0.96,-0.12,0.98,0.13,1,0.69,0.96,0.97,1,1,0.78,0.98,0.98,0.99,1,0.81,0.99,0.97,1,0.99,1,0.94,0.66,0.91,0.55,0.88,-0.24,0.82,-0.66,0.6,0.49,0,-0.51,0.23,-0.98,-1,0.99,0.98,0.9,0.86,0.68,0.27,0.96,0.81,0.68,0.34,-0.84,0.09,-0.07,0.07,-0.25,0.98,0.91,0.92,1,0.99
"14_P1-20-8",1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0.86,0.99,0.97,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.98,0.45,1,0.38,0.73,0.71,-0.03,0.41,-0.13,0.08,-0.51,0,0.76,-1,-1,1,0.92,1,0.73,0.88,0.74,0.35,0.95,0.62,0.63,-0.36,-0.77,0.82,-0.7,-0.7,1,0.99,1,1,1
