"","296-100-0.22","296-20-0.22","296-40-0.22","296-60-0.22","297-100-0.22","297-20-0.22","297-40-0.22","297-60-0.22","298-100-0.22","298-200-0.22","298-40-0.22","298-60-0.22","300-100-0.22","300-20-0.22","300-200-0.22","300-40-0.22","300-60-0.22","302-100-0.22","302-200-0.22","302-40-0.22","302-60-0.22","304-100-0.22","304-200-0.22","304-40-0.22","304-70-0.22","306-100-0.22","306-20-0.22","306-200-0.22","306-40-0.22","306-60-0.22","307-100-0.22","307-20-0.22","307-200-0.22","307-40-0.22","307-60-0.22","310-100-0.22","310-20-0.22","310-200-0.22","310-40-0.22","310-60-0.22","311-100-0.22","311-20-0.22","311-200-0.22","311-40-0.22","311-60-0.22","312-20-0.22","312-200-0.22","312-60-0.22","313-20-0.22","313-200-0.22","313-60-0.22","313-90-0.22","314-20-0.22","314-200-0.22","314-60-0.22","314-95-0.22","315-100-0.22","315-20-0.22","315-200-0.22","315-40-0.22","315-65-0.22","317-100-0.22","317-20-0.22","317-200-0.22","317-40-0.22","317-60-0.22","318-100-0.22","318-20-0.22","318-200-0.22","318-40-0.22","318-50-0.22","319-100-0.22","319-200-0.22","319-40-0.22","319-60-0.22","320-20-0.22","320-60-0.22","321-200-0.22","321-40-0.22","322-100-0.22","322-200-0.22","322-40-0.22","322-60-0.22","323-70-0.22","324-200-0.22","324-40-0.22","329-20-0.22","329-200-0.22","329-60-0.22","330-20-0.22","330-60-0.22","298-20-0.22","323-20-0.22","323-200-0.22","326-100-0.22","326-20-0.22","326-200-0.22","326-40-0.22","326-55-0.22","330-100-0.22","330-200-0.22","302-20-0.22","321-100-0.22","321-20-0.22","321-60-0.22","322-20-0.22","323-100-0.22","324-60-0.22","329-100-0.22","329-40-0.22","330-40-0.22","178-100-0.22","178-20-0.22","178-200-0.22","178-40-0.22","178-60-0.22","179-100-0.22","179-20-0.22","179-60-0.22","193-100-0.22","193-20-0.22","193-200-0.22","193-40-0.22","241-100-0.22","241-20-0.22","241-200-0.22","241-40-0.22","241-60-0.22","262-100-0.22","262-20-0.22","262-200-0.22","262-40-0.22","262-60-0.22","267-100-0.22","267-20-0.22","267-200-0.22","267-60-0.22","287-100-0.22","287-20-0.22","287-200-0.22","287-40-0.22","287-60-0.22"
"296-100-0.22",0,-2.07381190504047,-0.556338194347229,-1.74021007884881,-0.251406290547765,-2.28021257486205,6.65783334355902,-1.10947367970354,-2.14720447508129,-2.4222768988841,-2.30388874179212,-2.52137949634256,-3.59940449456921,-2.57674737253463,-1.58702125361315,-1.84047846476425,-3.00127927089769,-1.98353331737415,-0.5310543720886,-0.0626458091033832,-2.32466760797148,-2.01042660244149,-0.938575432713479,0.406907624772584,-2.07393992235783,-1.94051652516342,0.366529150624263,-1.00795247777433,0.410839608096504,-1.25246607336643,-2.04258821043108,0.458590834249959,-0.639633332464314,-0.0389558986677696,-1.45912000178032,-1.13277321132438,0.353700281154707,-0.941326492048651,0.335402575328723,-1.58185957800919,0.134806217748194,-0.210788213397063,-1.0108692731888,-0.172989026498087,0.000968847560535802,0.951153696854919,-0.891566886022423,0.06227736776803,-0.223318545440052,-1.21796994918891,-0.0583538749120736,-1.20907633413267,0.973305848150784,-0.497007506103033,-0.0467093911212337,-1.90005578862482,-1.25270249177454,-1.99252668149757,0.644429317144449,-1.92152884730704,-2.17709978703834,-1.34756229127784,-2.03082668324397,-0.725856939984768,-2.46510897116005,-2.48514657886156,-1.14830242141577,-1.73541944898293,0.0127548338393902,-2.14825702158961,-2.57032732925235,-0.940635192653104,-1.00879954765893,-2.92795543746317,-2.19729688204441,-2.24487332141053,-2.70444393741775,-2.05369702631782,-2.58262715310072,-2.10171989336322,-1.56576944450484,-2.50040637766777,-2.80081111717285,-2.68986014860463,-1.48252060199466,0.654231235050267,-3.51505327698765,-3.18401549958806,-4.11722240588735,-3.1149761005175,-4.03477795073739,5.53585313686706,-0.00625452692237153,-0.576671295416206,-0.223723118617371,-0.0904604801771512,0.381627986201603,-1.92675108120583,-1.62435688407593,-2.74947128756102,-3.76113696484039,-1.68810873140708,-1.44283353696765,-2.29280778460901,-2.45963454107231,-2.54997365750608,-2.27632259309013,-2.59615283824689,-3.32871985348181,-3.392929585418,-2.57364086177664,-2.42444254023082,-2.76236865153677,-2.48423689180405,-2.30541826765319,-2.56323422133413,-1.24376198817801,4.11347506817755,2.13322326554758,0.827422481112132,0.916067252380526,0.291346599029023,0.643205982994382,1.05683834317408,5.57062897055574,0.347289754364848,0.917032447055745,0.621982979216905,0.201172254145753,0.312294178846333,0.376937426066434,6.09343184652865,0.943585445806742,0.83739229105178,0.83754222552902,0.891415444914772,0.905814716714405,0.644626413427978,1.60856646436937,0.694874281615744,6.65078905573024,0.910648153215499
"296-20-0.22",-2.07381190504047,0,0.451208125429933,-0.32579304702704,0.414710297911542,-1.99754159661561,7.7857079866081,-0.203402085962412,-2.48861545207271,-2.35328172123875,-1.82330833984432,-2.05794718041615,-3.57913392840437,-2.59463238834149,-1.53632388108292,-1.86161926396397,-2.97769402295109,-1.83552411002867,-0.414532861909233,0.109974238369239,-2.37793869349829,-1.88912744978113,-0.876131133244572,0.572823108537544,-2.10396512701571,-1.94412009185135,0.49169918715642,-1.05350552978878,0.51717246369118,-1.27110237442736,-1.97118471204695,0.549569258516358,-0.737694905467002,0.0476784677503219,-1.47141154925239,-1.2188679570718,0.501992123997137,-0.963436873235986,0.474406431423028,-1.58668273688578,0.167821332997963,-0.182383533095378,-1.15399810602284,-0.092931505054449,0.0384283298054404,0.989292079059189,-1.03417361087752,0.128211030523359,-0.175890720495377,-1.21178127388597,0.0151789817834545,-1.18778664892052,1.06456135841609,-0.533198383320505,0.0217931293205723,-1.78105270063731,-1.21511497468661,-1.9089581570469,0.680316729086081,-1.91197851845615,-1.98507771502239,-1.41058463792445,-1.88204001280827,-0.782458298206571,-2.33553604586936,-2.2691608039881,-1.19584544691423,-1.68639110986447,-0.148765354756513,-1.95442663756192,-2.34153682237588,-0.903412762709849,-0.958944723148006,-2.6517250150315,-2.00710524678975,-2.15691096464001,-2.53975720081259,-1.80848184825454,-2.51310845711257,-1.90158333054859,-1.39847111677482,-2.31541855595366,-2.57088955218318,-2.50305994870308,-1.3362957197874,0.957991394378267,-3.61001203532687,-2.95997873679077,-3.95650837932386,-3.06218393640563,-3.86715920425076,6.87415806645135,0.275213590484151,-0.587874504483068,-0.156655636358445,0.144332915148842,0.271818313902022,-1.85383945304819,-1.48672253675844,-2.77633386421459,-3.75162773059768,-1.62957560260879,-1.20919811637247,-2.16668351478287,-2.23552807095661,-2.41636952554361,-1.9958443793866,-2.53947265212518,-3.03334609587067,-3.14232336079011,-2.4834742902751,-2.53978338734346,-2.8285199261468,-2.53429280888146,-2.72368788975651,-2.89442672376044,-1.32205879018866,3.92563553999657,2.52562865612213,0.920239610171821,0.764616208490491,0.395951956752327,0.62449183833942,1.05642371401326,5.49604008029979,0.441922010929446,0.986638610254727,0.587308299647846,0.359992397306026,0.198509957791627,0.659271877936984,6.01979751966051,0.935235812235188,0.876638266889092,0.863244570009343,0.941630853249693,0.954328834716833,0.711502381429089,1.57641764240764,0.862218674650162,6.44665119935498,0.93007391406321
"296-40-0.22",-0.556338194347229,0.451208125429933,0,1.79998079431288,0.854017261383464,-2.009844577238,5.68950703346091,-0.89282493890645,-2.58414759164719,-2.25119572720298,-2.60530938056524,-2.45646831337967,-3.62075643663731,-2.8315524990105,-0.667341524492774,-2.01508505197512,-3.06338786567992,-1.90175999099018,-0.440582776099274,-0.546586689601374,-2.57949645025104,-1.59891854726289,-0.437847699463824,-0.251393966004022,-2.3332615143684,-1.83200134368499,-0.127799835020801,-0.693097908858578,-0.113101979063873,-1.28794171978892,-1.91384152216932,-0.123785125048158,-0.254384127416777,-0.59231953570045,-1.43570163475448,-1.05401466183582,-0.0877014326626779,-0.623927869856687,-0.124292695494587,-1.53358033177963,-0.444983897343747,-0.819279041842145,-0.877190856920757,-0.726613947555828,-0.571355597108133,0.0410366072578311,-0.655832102544469,-0.488202740491217,-0.802960444242993,-1.05390211527716,-0.499311340543919,-1.14115583323294,0.0159669560500892,-0.445396959978032,-0.536455006448633,-1.72661709903409,-0.682196897013957,-1.93516685752603,0.966215548785959,-1.88360269038151,-1.86065280962577,-1.09223663720743,-1.90048237111227,-0.647529510750616,-2.00077743053873,-1.87846534107256,-0.808386074953055,-1.734401236624,0.0308700396188329,-1.92962148382662,-2.11192917005728,-0.492518239413847,-0.78022356811755,-2.19226280391698,-1.51644107309508,-1.84694106587995,-2.31187422953261,-1.66223255816121,-2.39920569020384,-1.50642098102513,-1.16643492222202,-2.37161174015758,-2.39573236655396,-2.64072079366034,-1.09190080178968,-0.0426261467078382,-3.63359535658927,-2.26009209589851,-3.95625402007981,-2.92294955793758,-3.68156134401592,4.04784702878687,-0.636056235375769,-0.131852919461177,-0.12336762087662,-0.540413159271294,0.632780858538077,-1.98215252541073,-1.39580044123006,-2.53776393503164,-3.20435726323497,-1.70602074827665,-0.999084502241524,-2.14748928793313,-2.10934776111913,-2.37270549389799,-2.14098378999751,-2.51860737217703,-2.85923707986773,-2.94702185419661,-2.28092497660765,-2.61874747838329,-2.78017586366699,-2.61440520928068,-2.64613480537595,-2.93753608259088,-1.22680119312943,2.6675965248848,0.3960910083252,1.12036849551797,0.864777218285852,0.443381235641807,0.788765798989379,1.07592548246049,4.1503580799004,0.432222455644436,1.04839854032117,0.743455446954303,0.359861447530701,0.407409578724924,0.622757651256714,4.55575860719264,1.13580299956787,0.963021694131226,0.933825603244095,0.979547288805735,0.945984202931344,0.867349657465291,1.63258981190255,0.844477838513013,4.83776319551894,1.04209232284223
"296-60-0.22",-1.74021007884881,-0.32579304702704,1.79998079431288,0,-0.129073425752032,-1.5938418248292,7.78436201468953,-0.551058630530937,-2.62982335680844,-2.45511439165485,-0.84413388783798,-2.0856721567416,-3.30362495830249,-1.90792013428855,-1.37602285770901,-1.64181931291149,-2.67122974140102,-1.58873204967778,-0.187397625623609,0.359763227235496,-2.06469666242003,-1.70845298433183,-0.70863534622002,0.777126554861509,-1.75302394506269,-1.69348485944995,0.701540862457549,-0.877358181923818,0.618319177933718,-0.899173714273227,-1.74280227731013,0.745556000504026,-0.549490920020029,0.327376737454897,-1.13206780530987,-1.0442520854941,0.708666724613456,-0.825855163205042,0.708086470272433,-1.2633832145325,0.486823754747777,0.0738493112136255,-0.914135402088045,0.122474604033843,0.313062685865415,1.18433647700429,-0.924776506302766,0.373095134741248,0.122094955773896,-1.13631879279162,0.303537432204016,-0.932877936738143,1.24628144613246,-0.4755682694659,0.325632555734972,-1.502480115863,-0.971363085473556,-1.61863091832346,0.876534908756369,-1.46531396920585,-1.50704439727523,-0.973026308032013,-1.43521129383133,-0.599632761015427,-1.86232567940404,-2.14891948501456,-0.97402737214029,-1.32845913899804,-0.447454586756995,-1.56071467611916,-1.94876371388863,-0.569501078696536,-0.782483269487356,-2.16915967863893,-1.53901927851859,-1.888111227024,-2.14549452661713,-1.43393086713792,-2.04464386629308,-1.68713384699593,-1.18990629335801,-1.86916383921728,-2.09779617366083,-2.11312705490663,-1.10819148104831,1.33645196352741,-3.03242289798938,-2.81499153717207,-2.92056283376147,-2.13587917957286,-3.15868498985804,6.87126116074608,0.557491447858571,-0.713993444439062,0.172281462248154,0.424696896815253,0.180618343965701,-1.40705536939184,-1.15932275803131,-2.33664451185891,-3.54808357072756,-1.38031036595916,-0.774729321538365,-1.99939085474169,-1.89606705982092,-2.1961129106919,-1.63461622653355,-2.02878910400585,-2.86475668816783,-2.83992687469289,-1.95495418393047,-0.871637505772419,-1.71767867743912,-1.3152895300492,-1.20831545701428,-1.32193351481103,-1.11270669770722,4.30430136231073,3.32385347644222,1.4810214438499,1.10788949203728,0.817326069944051,1.03250790936665,1.22211630243697,5.80305239220418,1.23802188914723,1.24352408875631,0.827146506952167,0.555556319231045,0.761100417741567,0.760024611191935,6.16397699169739,1.10969083051751,1.17687931664202,1.17429596285191,1.06195228820659,1.23981450085281,0.903452913666906,1.65028713616213,0.913690863027582,6.49572089629445,1.35673343563642
"297-100-0.22",-0.251406290547765,0.414710297911542,0.854017261383464,-0.129073425752032,0,2.34492423448382,8.18255280351535,-1.21676480393666,-3.19015274877901,-1.51387740220497,-0.83450009174338,-1.94141767546545,-0.676872183495625,-1.29544318481484,-0.65413130610355,-0.951777670916656,-1.6482919847323,-1.95499431418004,0.0186326285948259,0.717982315232659,-1.41533453436297,-1.87831780811538,-0.551528461696806,1.120374536897,-0.892111398404542,-1.17537238798555,1.16501085626133,-0.711197364576905,1.11912803121908,-0.313318601505001,-1.35524562581811,1.1867579597611,-0.375591540697373,0.732342730467013,-0.770109934686513,0.256062252642485,1.01093729911325,-0.348177993990676,0.984837032154181,-1.0606832564728,0.776991075334595,0.555692779611168,-1.01763266421017,0.573707671403336,0.783283196040509,1.55170279071055,-0.698964888349784,0.892746533631764,0.637728829040074,-1.27285676707002,0.706268702384358,-0.61763768370332,1.38870453613752,-0.716684276674321,0.624438810924144,-1.0727096194213,-0.448278036010355,-1.42615983476178,-0.993284368026353,-1.21821599971138,-0.950913803963685,-1.46493499331322,-1.58908272708985,-0.38915629454712,-1.80557568917918,-2.11147646368953,-0.56838139294391,-1.12585072195375,2.92770895861498,-0.532423557234259,-1.84028724736175,-0.86076405406273,-0.887631461962659,-2.39692524227816,-1.72153361521757,-2.67872718612319,-2.48632483105614,-1.74343096624286,-2.08405483047012,-1.49847133955755,-1.65261840124235,-1.90512799137565,-2.71721129376432,-2.60904960251629,-1.73254929210366,0.998762279349285,-2.59376361966072,-2.79912549414811,-2.35020394964431,-1.07783241006737,-2.23626222098565,5.45556341556368,2.52077998050543,2.76393158588032,8.97208946457962,1.19370261313424,3.73412740764621,0.606404060945902,0.942577709549935,-2.01589809155143,-3.24525182099101,-0.902604370811696,-0.908079732767532,-2.01471648383712,-2.21291458712422,-2.29799982571244,-2.25122032270684,-2.12920054535693,-3.03860171760556,-2.81051901783611,-1.72241283724979,-0.986719933573019,-1.36422058411894,-1.68103787388973,-1.04868785749183,-1.05479059858251,-0.814423325383693,4.34005064395928,3.17387540120697,-1.82249397944904,-1.15382660803903,-2.78167724370406,-1.4304970186113,-3.34052523410277,8.04683439510544,-1.81712870843398,-2.63897362301549,-2.11078535392143,-2.80477567828692,-0.863727202213538,-1.43141533927562,8.80778945467395,-2.25933975192247,-1.69154350098477,-1.33069519836944,-3.16604763015323,-1.74486956021438,-3.31124589663288,-0.493741092661977,-1.76102053881891,10.4444191827762,-2.15954842503235
"297-20-0.22",-2.28021257486205,-1.99754159661561,-2.009844577238,-1.5938418248292,2.34492423448382,0,0.475960167258876,0.314793497146333,-0.292677536712889,0.648657360718136,-2.00633324922999,-1.9442570263342,-2.02169467556891,-3.04671744110564,0.687656999416736,-2.13633664799255,-2.42758213904172,-1.34784153646248,2.47065909511599,-1.62381288373568,-2.42325507182873,-1.03803877174959,1.48598440295967,-1.39798618363066,-2.59500806806629,-1.20488163048661,-1.01823759265125,0.951344253562309,-0.929111123765273,-1.42260649820351,-1.73555425344326,-1.17604523406694,0.495857509251264,-1.58340299514391,-1.7211393707848,-0.639419380433097,-1.00262851201394,0.434299886304414,-1.0586563470459,-1.8359933240731,-1.35621644919404,-1.93046146140384,0.449242448032231,-1.89308378051932,-1.62457307949813,-0.802234175144375,0.437058366004048,-1.52195533364286,-1.95933919504289,0.631113527039599,-1.37634110413522,-1.4853116398027,-0.779143993593897,0.603021118747351,-1.27807491798081,-2.10164700916797,0.469812218792999,-2.14109258799902,0.529982820346944,-2.29577671805388,-2.09198345341809,0.0561137691172826,-2.71371565628811,0.974504870700653,-2.67528426434468,-1.06394010985576,0.648187334813359,-2.47237375172013,0.139542603390557,-2.64874486906078,-2.33971067068474,1.84374776927765,0.0139257862317591,-2.13123044391202,-0.689595172323099,-1.26062630787199,-2.24200946211105,-1.84175684411487,-3.25787602753374,-0.315764700281718,1.50437912272378,-3.14138673684511,-3.16945788542293,-3.47498399675965,0.152123941317156,-1.89477910314986,-4.03820538695469,-1.04287033086854,-4.01331122842319,-4.01239934217562,-3.56123082036027,0.187987716962766,-2.03126799380658,0.800682320228912,0.708705762497441,-1.76454117352349,1.12666084467928,-2.25564007556623,-1.55179996864611,-2.94735083664002,-2.32272137096096,-1.92621093801722,-0.907899086544773,-2.82293483518827,-2.48696542677026,-3.26501727339268,-2.28274656574497,-2.84802584656732,-2.17087017392379,-2.6940212891814,-2.70420461221371,-0.796917541421594,-3.03383105040305,0.0697225294801147,-2.15716045725031,-2.3437852538057,-0.935856946419778,0.686984399086199,-1.94871273195678,-0.849390175406096,-0.612495445727646,-1.35025965250996,-0.638768630779375,1.19644442326581,2.00844823794209,0.695961514384512,0.234443188596022,-0.827078556294618,0.742712933164669,-0.879180058080073,1.61407659907467,2.44850081828396,0.25690023260628,-0.494128949714532,-0.547166691602052,0.784997980079257,-0.559663952508054,0.640355343896925,0.340688284762179,1.20554167290567,2.8004026706048,-0.122282949018499
"297-40-0.22",6.65783334355902,7.7857079866081,5.68950703346091,7.78436201468953,8.18255280351535,0.475960167258876,0,8.21441972854256,5.08203917546614,7.46506888958513,-1.53978923098267,-0.573236836393434,1.92351140600435,-3.8779417861073,16.3272294884076,-2.81809847114557,-2.34345730835497,2.23794475609241,7.70037023625635,-2.80710572966469,-2.98560602547215,4.56684587305522,10.153341491552,-2.67946276371669,-2.82917351947943,-0.178792429612217,-2.18194351126962,4.2504532222779,-2.05676859943491,-2.12735685569399,-0.780205974228457,-2.46171031702905,4.05129963169333,-2.74432840358546,-2.55053583033986,1.66915833659908,-2.18233444385856,6.60799934712013,-2.27114043053036,-2.6777512126295,-2.64712838961184,-3.02604407283998,5.44667067626999,-3.11783277267373,-2.9431953064053,-2.54457109594563,6.43536816164887,-2.66760036039707,-3.06069012356647,3.16251763422283,-2.49344914442715,-2.4482205827651,-2.67813454000681,4.04445163745962,-2.43312493778726,-2.29645237053434,7.47766899569549,-2.8477576799659,7.20424211735377,-2.98858931363999,0.155396376477028,6.49213915178989,-3.23353537821797,8.47934149030924,0.0301951972554445,2.68279834550622,7.44223015674449,-3.33427712773947,0.893965024449578,-3.04402623423088,-1.02209731977138,11.4364173118228,6.1225460394822,6.28588887274913,9.45869006505828,1.2938407416705,-2.54833055679422,5.94148887714049,-3.31106273261098,11.0529247715018,7.22127304766364,-3.50266596131508,0.171649629909831,-2.60811562691893,8.9205842879022,-2.57920031969906,-3.47645696318706,13.6711359759004,0.507467515511684,-1.9283361522642,1.725534115839,-2.84591748964254,-3.05646720996928,3.43800902236355,3.08509933438768,-2.30684776405466,2.71057408902228,-2.38541733614637,-1.58272518883684,4.05881779175524,9.78967303819263,-2.5943286149135,6.17204911032582,-3.02642658697986,3.06922969911096,-3.22715739652477,1.42199167398978,-3.01753224104812,1.40670945746302,-1.87262005164796,-1.76636223203271,8.83879387493043,-2.71712099480309,11.1684434403739,3.99350218114563,6.8800011960853,1.25774840388443,0.735939456362933,0.944200234599187,4.31548082010862,1.89670684094718,2.85638675349987,2.12347903703442,6.08524308150697,2.6627048697734,3.4661323754134,3.60334012998258,3.61507432438484,5.70440335732305,1.68902336863269,7.99618442829605,2.54734187438587,3.26394730295845,2.23383710839303,1.90293405095948,6.0046490363596,1.91504746313294,4.7705426150844,2.59693242260761,8.16794250672856,2.73821686614326,2.34946354431296
"297-60-0.22",-1.10947367970354,-0.203402085962412,-0.89282493890645,-0.551058630530937,-1.21676480393666,0.314793497146333,8.21441972854256,0,-2.37543394705454,-2.41376971958988,-1.70697745782553,-2.18100634218232,-3.86023867086226,-2.18235711322449,-1.93706827541248,-1.78846595003629,-2.92323275467875,-2.74518576635317,-1.27274079684787,0.47227660528277,-2.19139057423955,-2.52999182187371,-1.01023753047258,0.916885263976043,-1.98068747932198,-1.89425044835691,0.908658440097107,-1.17614761145556,0.895148935430395,-0.920057990474911,-2.17364117013441,1.05098737777875,-0.82097136589869,0.578554145812443,-1.08147006005307,-0.815393956507582,0.916677118928973,-0.83674512822971,0.903776213859915,-1.2654476569771,0.734338648889553,0.409827074489791,-1.12900155311502,0.418698478349282,0.559021715362515,1.52347574499445,-0.951448016177068,0.70348892840722,0.293554179601918,-1.46343387097974,0.477550015616618,-0.885564788880599,1.42597408503359,-1.19698300661836,0.460382352509027,-2.00611750579592,-1.56050220872259,-1.77550174579785,-0.68061485948844,-1.72215795072709,-2.57004233054957,-1.40640570481694,-2.14931391114146,-0.804346037948107,-2.54805236880726,-2.69450587631462,-1.04255289029824,-1.73498221843213,0.178226899863416,-2.27188638509329,-2.90785895882235,-1.20071172183948,-1.36543149640477,-3.15748472626869,-2.62388092971659,-3.08375654832024,-3.05022441601969,-2.63328691607633,-3.06705647005223,-2.50586203994843,-1.84540692154951,-2.84711647420708,-3.48672095804824,-3.9071839511492,-2.5065706868415,0.963589591180738,-3.25284627167685,-3.47115404173568,-3.50661522068849,-2.39600973840714,-3.75491978562096,6.84418931670593,0.829468810059268,-1.15667158127182,-0.600914705085339,0.575365438167996,1.15198358425619,-1.69395556279848,-1.89433549751288,-2.67937017997086,-3.68471914442213,-1.51473777069647,-1.49264935465021,-2.36099747322344,-2.88217924030654,-2.82767846100475,-2.919310065774,-2.53568574511436,-3.20382412246392,-2.90847760231238,-2.15623318473191,-2.47809554873405,-2.44026585149706,-2.3214819903837,-2.37931916147831,-2.48611219542904,-1.16474214488848,5.41823322531428,3.09757208766173,-1.38493574767979,-0.858843000700946,-2.12843902051797,-1.14434414469348,-2.05770354310359,8.29268916638252,-1.84195406751337,-1.65670630932857,-1.59767089653709,-2.34193669203577,-0.73786977715862,-1.56446172104146,9.09040919580776,-1.02163901920875,-1.22397513936363,-1.00327109550402,-1.98931969612755,-1.28425451941067,-2.31322501409493,0.287695968385812,-1.72434722056907,10.3226047336469,-1.35654638396754
"298-100-0.22",-2.14720447508129,-2.48861545207271,-2.58414759164719,-2.62982335680844,-3.19015274877901,-0.292677536712889,5.08203917546614,-2.37543394705454,0,-1.19326490527629,-2.25070525701273,-2.25146744022609,-1.35264270938982,-1.7834415225491,-1.48927300488734,-1.01987841566448,-2.26670492909458,-2.55893326951735,-0.289431473504856,0.0306373993998925,-1.4914160868244,-2.25051609852043,-0.580235552115658,0.39939375599288,-0.951979641698869,-1.41056533588031,0.472966594897216,-0.548725474047417,0.516532819820297,-0.526918613635246,-1.45656220586987,0.4097607331555,-0.511347377858345,-0.178729734502323,-1.01708766162942,0.0878548869756533,0.338025498614967,-0.455228310860429,0.351109637855938,-1.03469749479631,-0.0962754356653659,-0.429808977672416,-0.782605578220144,-0.333467322709657,-0.212398942579265,0.252415932967235,-0.700894818004696,-0.0147991256385146,-0.404398797532649,-1.36915147706315,-0.0694599128545066,-0.725648591476109,0.154327604477697,-0.62628984716527,-0.165766063259928,-1.50613708714727,-0.847427527295822,-1.37368813247912,-0.939968020241073,-1.23970214995119,-1.91747398381035,-1.40558765356154,-1.73975623346849,-0.449600596897914,-2.18957362951918,-2.68774743900321,-0.72289991299263,-1.31236624845625,2.46662440353318,-0.89529215290117,-2.66417240152728,-0.869232200546356,-0.828969619745037,-2.69092730141449,-2.19776912614115,-3.20617270374308,-3.15062337141969,-2.11665058621127,-2.52972392944385,-1.7934271887195,-1.51077424146625,-2.7091165607053,-3.17533903116108,-3.26343198761497,-1.96110904669378,-0.218814108081377,-3.05373794977239,-3.19283564360008,-3.41871396963587,-1.63786639401402,-3.0559269997877,2.67308123029259,1.85560330001812,3.02076570671034,8.39452667538559,0.609699088068111,2.64058909792139,0.513487200391648,0.665671754162458,-2.26747687341759,-3.45601113546085,-1.11634195998548,-1.0496129731323,-1.6496742917588,-2.02169824937457,-2.02323955485607,-1.9895838478044,-2.05446220601642,-2.45176599580158,-2.59782603985245,-1.61862279259751,-1.39421784826627,-1.19748121416018,-1.79713620036457,-1.34927301836659,-1.34919494945852,-0.21556577896267,5.49179418101975,5.97040992932262,-1.08267931560423,-0.712414246373141,-2.5874040202468,0.270860333468225,-3.3274181212408,8.49259375408625,-1.97958974659196,-1.79460583187508,0.0497337898208697,-2.77192564349011,2.16295480556831,-1.66480553153227,10.1467668081103,-1.72483577359094,-1.25090699800507,-0.965283929916022,-2.82414861829092,-0.970159017128554,-3.31069187880208,1.26402452271907,-2.04907397370976,9.84882255090148,-1.66683012317312
"298-200-0.22",-2.4222768988841,-2.35328172123875,-2.25119572720298,-2.45511439165485,-1.51387740220497,0.648657360718136,7.46506888958513,-2.41376971958988,-1.19326490527629,0,-2.66203918627342,-1.87307231264426,-3.5513147364846,-1.79331673355566,-3.31119635237219,-1.38502812521459,-2.45959508783219,-3.10497699026647,-2.05574113289242,0.882669247257858,-2.13739492953829,-2.84955913155437,-2.46241189257451,1.47204198517596,-1.87148961186992,-1.61388086118158,1.31248071327207,-1.15780248653739,1.23729830719251,-0.582630893654729,-1.88451348079284,1.53740529463308,-0.949848268782903,0.96179363264149,-0.764554893179836,-0.778859641279942,1.31925244138512,-0.867239079643975,1.34372016671283,-0.893878413371994,0.875006782884918,0.733510400981529,-1.21061362064691,0.820070771765272,0.989964635148783,1.8331465565435,-1.51082966963698,1.13158828609835,0.872201490343743,-1.87747385664649,0.968469387929496,-0.614829529770587,1.73700026839233,-1.36123307911765,0.802765470517562,-2.42435687988772,-1.95477895471425,-1.18211179227432,-1.88206506378516,-1.19198058697639,-2.62731077315026,-2.21928188871184,-1.4726553858908,-1.8718253437646,-2.46210163389761,-3.36262254476418,-1.78447406522959,-1.12092552959652,0.0354237726775764,-2.19382753901567,-3.12058334947985,-2.21956696671803,-2.047524251273,-3.02633210145765,-2.74718040988721,-3.6638790740184,-2.96687151148746,-2.54964181995151,-2.11509058000947,-3.5089456605829,-2.95108222519787,-1.92061093862424,-2.70027702250169,-2.89730693868811,-3.4429674051603,1.08355728587266,-2.08164633859832,-3.93789212171219,-3.59595914869309,-0.608398805839389,-3.84277398564014,3.92016843529821,1.91061550313477,-1.2790619779537,-0.906247467797261,1.33996094918933,0.217382675755761,-1.31239045088232,-0.442323239452317,-2.58249799063184,-4.18468254701545,-0.969478758359966,-1.47581793107896,-2.09150020978307,-2.70097989034313,-2.1273480381733,-2.84746241981478,-2.05237712669831,-3.39220632946584,-3.05984390851942,-2.25559963125858,-0.0602982304554577,-1.44869855278093,0.144173154349708,-1.30338624982737,-0.815573998234874,0.286641789854295,7.95423367804353,7.86142687377806,-0.569095817601191,-0.114614689114215,-1.54593870287166,-0.65701394212593,-2.21086204754266,11.5578818207935,-0.932065341692774,-1.30820953836341,-1.41547711769444,-2.3499141512261,-0.0425822330057303,-1.84832903572807,12.2890222554346,-1.58130321354685,-0.827414067710066,-0.591787330222561,-2.05053942152667,-0.579806995602309,-2.9318713756616,0.438361100591696,-2.09617341368812,12.8360457253492,-1.28500357675973
