"","296-100-0.22","296-20-0.22","296-40-0.22","296-60-0.22","297-100-0.22","297-20-0.22","297-40-0.22","297-60-0.22","298-100-0.22","298-200-0.22","298-40-0.22","298-60-0.22","300-100-0.22","300-20-0.22","300-200-0.22","300-40-0.22","300-60-0.22","302-100-0.22","302-200-0.22","302-40-0.22","302-60-0.22","304-100-0.22","304-200-0.22","304-40-0.22","304-70-0.22","306-100-0.22","306-20-0.22","306-200-0.22","306-40-0.22","306-60-0.22","307-100-0.22","307-20-0.22","307-200-0.22","307-40-0.22","307-60-0.22","310-100-0.22","310-20-0.22","310-200-0.22","310-40-0.22","310-60-0.22","311-100-0.22","311-20-0.22","311-200-0.22","311-40-0.22","311-60-0.22","312-20-0.22","312-200-0.22","312-60-0.22","313-20-0.22","313-200-0.22","313-60-0.22","313-90-0.22","314-20-0.22","314-200-0.22","314-60-0.22","314-95-0.22","315-100-0.22","315-20-0.22","315-200-0.22","315-40-0.22","315-65-0.22","317-100-0.22","317-20-0.22","317-200-0.22","317-40-0.22","317-60-0.22","318-100-0.22","318-20-0.22","318-200-0.22","318-40-0.22","318-50-0.22","319-100-0.22","319-200-0.22","319-40-0.22","319-60-0.22","320-20-0.22","320-60-0.22","321-200-0.22","321-40-0.22","322-100-0.22","322-200-0.22","322-40-0.22","322-60-0.22","323-70-0.22","324-200-0.22","324-40-0.22","329-20-0.22","329-200-0.22","329-60-0.22","298-20-0.22","323-20-0.22","323-200-0.22","326-100-0.22","326-20-0.22","326-200-0.22","326-40-0.22","326-55-0.22","302-20-0.22","321-100-0.22","321-20-0.22","321-60-0.22","322-20-0.22","323-100-0.22","324-60-0.22","329-100-0.22","329-40-0.22"
"296-100-0.22",0,-2.17296267497434,-0.438558428989425,-1.5189370136139,0.305589529902295,-2.42750257827003,6.78370162918943,-0.81818566062709,-1.64133080024832,-2.17706261033367,-2.33919842145604,-2.54416559661001,-3.40363640425215,-2.66192708392011,-1.13846193967122,-1.85269057393341,-3.08753838054862,-1.93526095832986,0.199893459522308,-0.0614567891270023,-2.31327814206744,-1.93480233709182,-0.792206756963128,0.457217070594731,-2.2138671507838,-2.01516577240263,0.311687425621771,-0.673247479922567,0.370888571050214,-1.17123419295888,-2.04175813854912,0.394130729092377,-0.453334009149102,-0.0250169278948012,-1.43961789776011,-1.41042782216073,0.264995514870362,-0.746955140224973,0.249411570111391,-1.56137966992159,-0.00238212630526942,-0.242498092801334,-0.89523861893049,-0.198874895255243,0.00600715039250444,0.660287961554495,-0.860316804635808,0.0261737294603198,-0.191139635417788,-1.52898074428208,-0.052556473313528,-1.25273856764048,0.763777681143504,0.40812365194495,-0.0371802644783457,-1.90313587037825,-0.208651456249709,-1.9716285200829,-0.309448847136849,-1.94339396853322,-2.1629041249854,-0.505171193345942,-2.02648566795633,0.112029072143737,-2.60798145055844,-2.71563348374494,-1.37930612689413,-1.66185524230124,-0.142169351599029,-2.13670642845742,-2.68584068227893,0.262361366083606,-0.0620943074164518,-2.89279170485767,-2.22391057885396,-2.45486984492962,-2.48553916962125,-2.02274214205081,-2.75560786545515,-2.25383681850733,-1.61455665230702,-2.55269758549123,-2.90407624801253,-2.6889583885843,-1.31768408059789,0.604296304676069,-3.41072745993143,-2.66415530084439,-3.75249448406342,5.90525225470717,0.0229505382989098,-0.678213843527974,-0.347189559716557,-0.125507216832166,0.0791368980566961,-2.00670652322304,-1.85042148686264,-1.70930307644477,-1.34788490266304,-2.42588383881499,-2.72426328878205,-2.67354416072996,-2.23266668946239,-2.79320630705572,-3.27641238438903,-3.48379218731308
"296-20-0.22",-2.17296267497434,0,0.715125977313332,-0.0675470174454466,0.293556641808529,-2.01447513160364,7.87753358407714,-0.782433660539324,-1.86033222430529,-2.01373453162069,-1.9085008921457,-2.03225888073226,-3.30593388902436,-2.49996553486042,-1.1267885707475,-1.76060872518895,-2.87721624939767,-1.74891347991757,0.209116786647543,0.104296367691457,-2.27139045253255,-1.7961313833412,-0.753595367657329,0.623679436874409,-2.16608521840123,-1.93450222825586,0.444252270256449,-0.796256869237806,0.481253269724991,-1.1471502120306,-1.95469188202977,0.495643820939054,-0.655697297233762,0.0710923621879658,-1.4500713699521,-1.43386830653261,0.408600181524699,-0.811863872249264,0.392308036336081,-1.53743350941517,0.0267121272147146,-0.175846851262603,-1.1073048191889,-0.0916244828399011,0.0616999094996923,0.701298134167825,-1.07043098561453,0.101884521654608,-0.123935893325959,-1.50480892179113,0.0201156425450984,-1.23324397608625,0.856835976212864,0.398670488905604,0.034238757565152,-1.73981290995553,-0.0462072406415404,-1.86696257526483,-0.264693638978413,-1.88086550674758,-1.96198342524931,-0.462364742143747,-1.86529910043814,0.144737755527205,-2.46232062140616,-2.52119677247514,-1.40168119252372,-1.60819178459005,-0.320536612681393,-1.93803589512158,-2.45770482836678,0.395141688547295,0.0571574475351365,-2.70304933496421,-2.07952758449397,-2.34935914790954,-2.34249800360116,-1.75934945256248,-2.67103646086912,-2.08016493829163,-1.47449308526605,-2.31684563627167,-2.58995004007498,-2.50550770415944,-1.24824308047236,0.942881721571563,-3.41163582849312,-2.4956985593703,-3.6247124469058,7.24829965953213,0.341007216464623,-0.710551647003353,-0.248145127628598,0.131739510164423,-0.0727835845656157,-1.84399808933811,-1.68254129033508,-1.64061528226106,-1.17222657937095,-2.25334604479406,-2.46670012508704,-2.52433739297798,-1.97807265971354,-2.72210066112177,-3.01424926766047,-3.32628184046099
"296-40-0.22",-0.438558428989425,0.715125977313332,0,2.40323802535769,0.81767904148159,-2.03718693888534,5.91282821348337,-2.0916721193792,-1.96404381660083,-1.78307727567695,-2.66042339614358,-2.44060637997702,-3.43510532784053,-2.82089893578656,0.0795787003346173,-2.01812819483324,-3.07136740467012,-1.86373890014598,0.0210994296590651,-0.531200046946855,-2.48756231479485,-1.43977043462053,-0.115738837145305,-0.205984565978546,-2.39195722096683,-1.91552184590381,-0.149270488191771,-0.414069476508106,-0.119795776925711,-1.2338209023075,-1.93156308640646,-0.138459504471772,-0.0935415255437428,-0.568796905966175,-1.45444197323534,-1.39005582154765,-0.136306697355874,-0.384590814367421,-0.17577381382448,-1.55503272858123,-0.557823092305107,-0.798752413360227,-0.780429709295828,-0.72546624388322,-0.524090691928035,-0.142058762544581,-0.522105362614921,-0.499896976443271,-0.762418062788345,-1.39305901953109,-0.480417395930708,-1.22091751454026,-0.104978957016474,0.441949428935697,-0.528367046404076,-1.76851497522742,0.566332075560837,-1.93675939880063,0.129489988419285,-1.92067431581087,-1.878031081009,-0.0865089608176375,-1.90142689217277,0.32644917530934,-2.08737100586155,-2.07233578129647,-0.832270981497959,-1.69432055470623,-0.139691972556227,-1.98989586708287,-2.19822862181877,0.930242892757068,0.35447309842911,-2.1873012443867,-1.4338724812849,-2.01123569053076,-2.23786215817903,-1.6183465930995,-2.55225842521676,-1.41763355145708,-1.20452106932123,-2.39158252722667,-2.41846635480479,-2.72865588827191,-0.974472059532022,-0.0711374934087205,-3.4835687402195,-1.81964638066722,-3.646959950563,4.58653979120157,-0.574718581665824,-0.126749454269453,-0.39317350238039,-0.583461334918255,0.314459174018741,-1.99009488938129,-1.61342674167153,-1.75040127728329,-0.929058023718964,-2.22071162842908,-2.32801753674864,-2.49629266844677,-2.18584490845855,-2.74193699196973,-2.94500711283685,-3.12075737436702
"296-60-0.22",-1.5189370136139,-0.0675470174454466,2.40323802535769,0,-0.551849168041198,-1.50138143278665,8.12642376102725,-1.4206489445043,-2.03283536871486,-2.09031345633394,-0.549330270405251,-2.03735720224091,-3.19375832230571,-1.86358667238439,-1.0079405456817,-1.60165807143338,-2.67560056945428,-1.61006500796751,0.366261183350826,0.365899961207704,-2.04698178621006,-1.66798545006312,-0.609003977717323,0.836670492033451,-1.85818286993067,-1.72044924171871,0.674464918348415,-0.63068206663135,0.580719405369547,-0.801001357124788,-1.66167722196189,0.691863937228531,-0.337311690673472,0.338359191018399,-1.10670215470812,-1.28139030694428,0.620778360478811,-0.716187629583304,0.647601455758176,-1.24426756029192,0.355825436948508,0.105473531688353,-0.89235903080997,0.167411833020746,0.348620978671656,0.911676795386729,-0.950084990844066,0.368670368489066,0.204350627502124,-1.50451961002042,0.337222758054469,-1.0090706520406,1.06896431305544,0.452494881612633,0.327433474668913,-1.45215970618453,0.239760094592583,-1.53023001725329,-0.105724456442966,-1.42675156884567,-1.39652668993835,-0.0271318477562286,-1.44220364439603,0.278584408343112,-1.96166574392332,-2.38925132139314,-1.19130973162359,-1.25706701997454,-0.287094264676228,-1.63550039103966,-2.05817729156003,0.724608484578802,0.220802646489699,-2.28102664218804,-1.6718225345974,-2.1106929377534,-2.01981102180464,-1.41240291023291,-2.13758498637772,-1.90263345208889,-1.39808730469755,-1.81509580013438,-2.19448017188964,-2.12211309156356,-1.02344616405158,1.36265634259366,-2.92423076453529,-2.47806414790505,-2.74475563582692,7.47161481247761,0.790236892104536,-0.730093803032695,-0.00858768238085384,0.458100665928449,0.100936871375265,-1.40946106127926,-1.30303903637226,-1.38576338755711,-0.739589580671568,-2.01814619708941,-2.13228102761936,-2.294451956362,-1.60224006797031,-2.14242452241541,-2.98852041752014,-2.98929234860764
"297-100-0.22",0.305589529902295,0.293556641808529,0.81767904148159,-0.551849168041198,0,2.18262020807498,8.3300040909542,-1.19988426595404,-2.36319521198841,-0.90333570318513,-0.630812701626165,-1.8044726753916,-0.615980945453357,-1.54147075456617,-0.310721304689029,-1.01827550940584,-1.9990719777316,-2.02491748425404,1.02845004674478,0.714809582999221,-1.46215094502107,-1.84007912481553,-0.299761028930971,1.18862662164253,-1.08402985465098,-1.54822715421978,1.14383530367098,-0.498493165896505,1.07118548090947,-0.442924444395658,-1.39456698673556,1.16086507208032,-0.146826783775623,0.705491302312384,-0.853879638758103,-0.136307746741978,0.948302430059852,-0.26502417007101,0.917422098450227,-1.1718944411895,0.658182318725208,0.560290287922162,-1.05021351267367,0.601635441048488,0.85783197240711,1.27805993311247,-0.766340497985384,0.898692723235315,0.708575457322222,-1.70385908658875,0.729758429085534,-0.68722096876456,1.28683502898458,-0.808815918255334,0.637309042969812,-1.40369150908085,-0.372075476919569,-1.53972685467439,-1.46597252639564,-1.2563427691143,-0.99558550518938,-1.74453632683385,-1.73969910310285,-0.540790679615066,-2.03368395288045,-2.47346461769639,-0.979717718362185,-1.16106674245798,3.16224179306427,-1.03052149905904,-2.35326250084195,-0.836989349392371,-0.986618685067926,-2.37124841829018,-1.801261696276,-3.08219962227185,-2.45011151101968,-1.72371561429379,-2.26067242678783,-1.52172733450116,-1.7757784557052,-2.1705296393705,-3.10671841052611,-2.52881063536932,-1.54318547597837,0.836018928197916,-2.5558046172404,-2.37395827994913,-2.43588305660482,5.79237419990381,2.67873730473073,2.92813364018089,9.00506836968993,1.12019171192845,3.48895380660686,0.454162786495697,0.78201945729467,-0.988227571577252,-0.811958958408264,-2.3254149378872,-2.48051895939999,-2.58120395088015,-2.20417079867772,-2.32413729458666,-3.20707912350766,-3.10216092839815
"297-20-0.22",-2.42750257827003,-2.01447513160364,-2.03718693888534,-1.50138143278665,2.18262020807498,0,0.614570180400398,-0.164484946071805,0.0984154451241348,0.751638599220017,-1.99758744382157,-1.92016661044046,-1.99568277568757,-3.16577374906548,0.739480577863787,-2.1851709341344,-2.54575045585104,-1.34699791232362,2.91396630155718,-1.61897794527889,-2.44396919300077,-1.04909596711615,1.54768837776635,-1.40025586145884,-2.66174047489586,-1.48931170242719,-1.04336902824057,0.988349164759367,-0.940746371606714,-1.40499393114316,-1.82935558706962,-1.23240856158433,0.449810990315248,-1.59061587776951,-1.72017274249673,-1.03792823219818,-1.07024739102039,0.446718080639367,-1.12741104337308,-1.89611754474605,-1.44884947262815,-1.95671799890794,0.389505336221399,-1.94033438394805,-1.66145800652662,-0.964885871476299,0.286552966070576,-1.58042384909617,-1.9772704689268,0.180706406553795,-1.41350612827102,-1.55225073427543,-0.861878764277209,0.611476617113178,-1.27816673056206,-2.21552515723012,0.814709788294511,-2.16863905250149,-0.286746559783776,-2.33085105736476,-2.20068462737179,0.347182296392231,-2.65797016853614,1.0315120082704,-2.72973205842355,-1.18098808106531,0.352943371040584,-2.40863087064781,-0.186287063702956,-2.70853726362882,-2.46822405442039,2.10213859104074,0.258761853543924,-2.12968936084217,-0.992897622690838,-1.51257770866416,-2.24157151319165,-1.87660796959802,-3.44300533142809,-0.420833679902937,1.21203265620838,-3.14604236652199,-3.25055966773694,-3.47008367169042,0.216175072313827,-1.95131402959207,-4.02507657066828,-0.821822682094282,-3.95128331894249,0.514534140654819,-2.16228556069458,0.453391222517362,0.374807595523756,-1.83592287040801,0.68944692080694,-2.27600558902436,-1.82321415850474,-1.98320518538721,-0.978587279444169,-3.02344530446139,-2.79388157984212,-3.53515877070331,-2.38512514030117,-3.08002854636742,-2.2691916202667,-2.89787566595936
"297-40-0.22",6.78370162918943,7.87753358407714,5.91282821348337,8.12642376102725,8.3300040909542,0.614570180400398,0,8.12643294442552,5.94294734925629,7.86068767491845,-1.44747804189444,-0.57687096957305,2.32802655250465,-4.02824723298881,16.3230882457336,-2.8991755259705,-2.39898010747927,2.55485696348933,9.03637085000779,-2.91369990251266,-2.78468869422048,4.94879648855985,11.0300168279785,-2.82433042186671,-2.81421346286998,-0.351996992397509,-2.18220339171339,4.76083001302433,-2.06450936102593,-2.12217665064574,-0.70532490391439,-2.51338406370499,4.37669552944484,-2.69378798186168,-2.49555193378713,1.733954732065,-2.20664336270543,7.17037602830887,-2.29447844893164,-2.66267420992633,-2.64139670304175,-2.97915200780011,5.57824189350396,-3.08409134706317,-2.92316326201273,-2.52912774778173,7.14139330093604,-2.66741267023713,-3.12753808995769,3.07027399369312,-2.49023130942698,-2.46181539120086,-2.66000401458015,4.27912776413278,-2.35127932156518,-2.26427581093635,7.69701365841341,-2.81044552881386,6.89035849791116,-2.90668707327609,0.357369787594618,6.89370694667186,-3.32642031288645,9.11751682317951,0.0158154117089842,2.69581268837813,7.84282279523922,-3.37338129375663,1.33114804941087,-2.9322501408891,-1.07763105984367,11.6965144822123,6.75272740294295,6.06132281064453,9.19711325709093,1.3826650525445,-2.2363393735723,6.3572894867567,-3.48095116523648,11.8081926030565,7.3933395069362,-3.53131542144473,0.328072916614774,-2.63477823907693,9.95443955595193,-2.86712471987827,-3.36355509388638,13.3109861958515,0.737516629633274,-2.78034721367344,-3.43584111436844,4.30272632025457,3.22958145485409,-2.59321025674525,2.98423165137132,-2.55805133678003,-1.69674324927647,-2.67511928408052,6.93048388333717,-3.29989540503536,3.65178234191102,-3.51162195298585,1.84116565306579,-3.40870195927244,1.94117612463006,-1.88406519841495
"297-60-0.22",-0.81818566062709,-0.782433660539324,-2.0916721193792,-1.4206489445043,-1.19988426595404,-0.164484946071805,8.12643294442552,0,-1.76487575689227,-1.84771689455101,-1.7312973317962,-2.11418582400326,-4.03429712014282,-2.28202051918164,-1.66239987762751,-1.74015095271572,-3.15930004536978,-2.92851625001549,-0.632897433966323,0.530291587836812,-2.11058613670086,-2.5927843691664,-0.96420525518468,1.04541809861586,-2.00644177808507,-2.22294855821854,0.870271538163131,-0.998905915133952,0.864839321277643,-0.955639743322606,-2.26987435771413,1.0145395054036,-0.734911025211028,0.593891358638961,-1.08196288460491,-1.32778191465652,0.840694971180798,-0.782710180826208,0.812858220565721,-1.34834933722123,0.573263565089974,0.423949470868343,-1.16640880918964,0.442678250101372,0.621135732091497,1.23672773931207,-0.98472101677413,0.686137717319015,0.38719896492797,-1.87970804891446,0.483085844108435,-0.960413429051059,1.28768886536428,-1.13672255180927,0.500775778213345,-2.19930895331127,-1.26236188576028,-1.88485966619649,-1.44034821808751,-1.80246478764891,-2.75366872233179,-1.43465888728457,-2.19696791289915,-0.807258810584754,-2.77321790570146,-3.0051835387068,-1.45751140714385,-1.70912253668932,0.0667503627284874,-2.51605173008271,-3.29089518599489,-0.96306636035748,-1.3081048547179,-3.06996909921084,-2.68530602774053,-3.36651547286118,-2.92285715987305,-2.66753617259243,-3.13345389167358,-2.69965315837263,-2.02386870189961,-3.01837131699426,-3.82665463492218,-3.78250297158596,-2.38720824303363,0.955783828563436,-3.092549776758,-3.23007480512227,-3.42437760568592,7.10133140894336,0.968314613980955,-1.45688934938112,-0.892520275574492,0.596630601786673,0.831766907844462,-1.75356938628922,-2.10393246710456,-1.53503627616425,-1.53103689025883,-2.56869450026881,-3.2172609582666,-2.97700567012288,-2.97361915176351,-2.62602664157859,-3.28227602660058,-3.09331060964213
"298-100-0.22",-1.64133080024832,-1.86033222430529,-1.96404381660083,-2.03283536871486,-2.36319521198841,0.0984154451241348,5.94294734925629,-1.76487575689227,0,-1.10860296807311,-1.54207578777111,-2.07041914393586,-1.00880496127967,-1.64190243428253,-1.11073061299683,-0.931967984754994,-2.23259366475815,-2.46194470980354,0.613697063855885,0.203087887622136,-1.41659390604072,-2.09761898344997,-0.412453726120356,0.635445171623544,-1.00029278834043,-1.66998901022378,0.549612918385581,-0.500222301186625,0.59601380908724,-0.59204713806823,-1.61572031257727,0.495564396162483,-0.566245254910734,-0.104923035759921,-1.07008385147129,-0.306153028775184,0.369427231623347,-0.487234377580188,0.382478363903814,-1.09289629753956,-0.0642937662139642,-0.349163737722653,-0.886826340769501,-0.306805351528443,-0.0846954384164329,0.195842942148345,-0.836349164461324,0.0267100502263405,-0.238262064611949,-1.70160101638519,-0.00481009799142422,-0.776291566848627,0.178557193025803,-0.869919236859423,-0.0807532683380548,-1.54237297045415,-0.950634197957083,-1.4626208278162,-1.39635370437268,-1.28420479677454,-1.80946763949416,-1.75796160265224,-1.74321963734564,-0.818341775967401,-2.27079362986485,-2.79773207988744,-1.150095225743,-1.24822710630631,2.54810907576649,-1.02952467243077,-2.95728880087946,-1.15486181244336,-1.05886044392292,-2.63993388658641,-2.2482674090908,-3.31205750747668,-3.04444574045053,-2.04887193359065,-2.44889093365046,-1.90442406617864,-1.75738866793376,-2.78680389586066,-3.25293433833778,-3.02634241015135,-1.78095024334796,0.00692401904445368,-3.03262764689857,-2.76555400136228,-3.30880312674738,3.78576407766402,2.25202909148756,2.96680283803826,8.1927668092804,0.9128340834581,2.38198998817426,0.643532147248847,0.406561215847363,-1.11606720998214,-0.993352965080602,-1.70533923607441,-2.20124736140978,-2.07083668021813,-1.98225457362194,-2.14257646096077,-2.54210849100049,-2.7192871765659
"298-200-0.22",-2.17706261033367,-2.01373453162069,-1.78307727567695,-2.09031345633394,-0.90333570318513,0.751638599220017,7.86068767491845,-1.84771689455101,-1.10860296807311,0,-1.97987811843507,-1.66966591987104,-3.44717422833768,-1.83403419503042,-2.60871901835898,-1.44713141838486,-2.54461120858945,-3.14607578203869,-0.929865291074711,0.966041964656034,-2.16857767077065,-2.79931691679902,-1.99130496508047,1.5921293438157,-2.03483402708403,-2.12391207034941,1.25861200253739,-0.927361212959909,1.14770405734626,-0.784883328792966,-2.22686242599614,1.43873514247767,-0.94443725003932,0.89902277363701,-0.965298153979779,-1.52517019674399,1.20587234176538,-0.882627239692718,1.19959844162697,-1.07180403144331,0.741183928863731,0.657750096925972,-1.32766099931575,0.780526612219641,1.00880142093266,1.5306660580052,-1.48289823067251,1.01944189185478,0.920693619107154,-2.09886842537405,0.900246387530258,-0.839387017928834,1.59566002069328,-1.25631429809638,0.721870597234495,-2.74626808342715,-1.9393930066273,-1.38542416572277,-1.90953906958598,-1.35350576260856,-2.76640360390088,-2.28937142711419,-1.60827605284361,-1.91181573891011,-2.61306930595676,-3.40741538391075,-2.09569142606444,-1.2001260390696,-0.222492504366025,-2.46892279093792,-3.50547732553496,-2.02787254819219,-1.99396837944067,-2.90004861031782,-2.45222192739875,-3.65598017792801,-2.92041204548357,-2.60785753234209,-2.22567492463669,-3.22129933020598,-2.80815346294184,-1.86880521056415,-2.70697715636981,-2.81780665053002,-2.81379514546789,1.20369848834811,-2.0175130533014,-3.31906218444622,-3.27814474703932,5.10451962769592,2.1467090877809,-1.57250108532787,-0.938701327190273,1.51435978548792,-0.170672585969376,-1.37096796743809,-0.881014294215842,-1.07372485192304,-1.43964526742946,-2.22760862107687,-2.99571351944503,-2.34585232966821,-2.79508696652843,-2.19225294004342,-3.34964422229321,-3.19176788334542
