"","296-100-8","296-20-8","296-40-8","296-60-8","297-100-8","297-20-8","297-40-8","297-60-8","298-100-8","298-20-8","298-200-8","298-40-8","298-60-8","300-100-8","300-20-8","300-200-8","300-40-8","300-60-8","302-100-8","302-20-8","302-200-8","302-40-8","302-60-8","304-100-8","304-20-8","304-200-8","304-40-8","304-70-8","306-100-8","306-20-8","306-200-8","306-40-8","306-60-8","307-100-8","307-20-8","307-200-8","307-40-8","307-60-8","310-100-8","310-20-8","310-200-8","310-40-8","310-60-8","311-100-8","311-20-8","311-200-8","311-40-8","311-60-8","312-100-8","312-20-8","312-200-8","312-60-8","313-20-8","313-200-8","313-60-8","313-90-8","314-20-8","314-200-8","314-95-8","315-100-8","315-20-8","315-200-8","315-40-8","315-65-8","317-100-8","317-40-8","317-60-8","318-100-8","318-200-8","318-40-8","318-50-8","319-100-8","319-20-8","319-200-8","319-60-8","320-20-8","320-200-8","320-40-8","321-100-8","321-20-8","321-200-8","321-40-8","321-60-8","322-100-8","322-20-8","322-40-8","322-60-8","323-100-8","323-20-8","323-200-8","323-70-8","324-20-8","324-200-8","324-40-8","324-60-8","326-100-8","326-20-8","326-200-8","326-55-8","328-100-8","328-200-8","329-20-8","329-40-8","329-60-8","330-100-8","330-200-8","317-20-8","318-20-8","319-40-8","320-100-8","322-200-8","326-40-8","328-60-8","329-100-8","330-20-8","330-40-8","178-100-8","178-20-8","178-200-8","178-40-8","178-60-8","179-100-8","179-20-8","179-60-8","193-100-8","193-20-8","193-200-8","193-40-8","193-60-8","241-100-8","241-20-8","241-200-8","241-40-8","241-60-8","262-100-8","262-20-8","262-200-8","262-40-8","262-60-8","267-100-8","267-20-8","267-200-8","267-60-8","287-100-8","287-20-8","287-200-8","287-40-8","287-60-8"
"296-100-8",0,-0.924750955312583,-0.759579104244777,-1.57725299461143,0.7743407490201,0.314707612974776,-1.05067402240266,-0.67122953814431,-0.566081378084584,-1.89623182679731,0.656135901656221,0.434034449655899,-1.01549719145205,-1.24367810504857,0.846635434605683,0.494960689307709,0.324530563186458,-0.811502338080234,-0.809061621511648,0.510629100402904,1.72920948413732,0.564237342827602,0.268850815693084,1.17856674843628,0.581420032193858,1.50857560266542,0.560221565609608,1.09702685847061,0.358700908139455,0.808111823311385,1.21113877430251,0.252600972674275,0.486378204113442,0.922221768363589,0.453204088783851,1.87373287417188,0.534672664171387,0.273605670979469,0.506932911030901,0.852109610509675,1.84907640638132,0.523532336828847,1.29069362720789,0.791139026599194,0.930009384362564,1.51599709109907,1.36311441210064,1.31201625188206,0.200262082798236,0.740853653667291,2.23111534703392,0.199213684133146,0.185456156809662,0.727563216787713,0.387168165221712,0.322792776436248,0.650636605189065,3.81891158513223,1.16523126703437,1.05244217829404,0.00291814589478888,1.90728266181164,0.38662023533951,0.113321442635792,2.49918749435299,-0.423655609705875,0.79127253903712,1.45234313457555,1.77564995438405,-0.793364840678803,-0.380907478753591,0.462168593845856,-1.23322466941383,1.55604373309076,2.16128692524251,-0.663814034227182,1.299063131878,-0.424986299365044,1.76137687648986,-0.650153042895014,1.97720069883189,-0.416493772185609,-1.37751160991612,1.35536847469807,0.437428979292069,0.0803830784345203,-1.25812475531443,-0.602325249389497,0.603064355689061,0.929214240809213,0.283487157476181,0.137852337339476,3.23593518807014,-0.34203776974584,0.642307715639259,1.80229890925403,0.560188179669141,3.11159473409158,0.397083120878749,1.06597696380414,2.97467398594868,-1.01789542064822,-0.311912936975756,1.0001390629784,0.374504141852521,2.71187128771406,0.0840337098949539,0.840877106641874,-0.0969241238808044,-0.339411305572699,1.07677283927606,-0.341254599053926,-0.491056112978526,-1.15217495098271,0.401747695841183,0.184384455850772,1.20702893271152,1.38292880283813,0.334776198832517,-1.7303789864741,-0.0502825005829652,0.577539145821337,4.51192976525913,2.0581541973605,-0.0660275628275306,0.929497734459538,1.40312706440348,0.4618315916122,1.78583083593693,-0.0269962561241736,1.44434498530047,0.0821320525554572,1.18879270757099,-0.585931829863008,-0.424335698662033,5.62177540898822,1.11420960397447,3.36551106833873,0.92126899201478,0.214212244321279,0.539064062063766,0.370310922886245,1.04634866252938,0.68210779092669,5.41706504695462,0.889730283256626,1.00077962410763,2.90991985016538
"296-20-8",-0.924750955312583,0,-1.00034732457994,-1.46816460308297,1.13726000172681,-0.220779251234328,-1.56238465310117,-0.709878293714979,-0.941550290091105,-1.89212422033579,0.645805087514841,0.00535427858000247,-0.973801394856607,-0.978153495180281,0.333692934879328,0.624140979489493,-0.0697329599000513,-0.512128312427556,-0.708553146649163,-0.21676140729849,2.04344335479647,-0.152826394162125,-0.355512406623938,1.22521032626765,-0.214438165843949,1.64002925005841,-0.0615780843764189,0.486212881312236,-0.0138986480727703,0.344002152666064,1.03705760337171,-0.175734481562349,-0.0418757074523339,0.630727556380132,-0.0278921633205893,2.24793803938023,-0.0376267710653343,-0.131807111758141,0.64214876231241,0.0338263010849301,1.63982702280291,0.108000561428244,0.755678825272593,0.311056651006763,0.202179126633235,1.82009725166016,0.301356710383032,0.149916928671771,-0.171497327619563,-0.181925698493497,2.47969118803871,-0.527444467178844,-0.317521352066287,0.678225460331318,-0.268296680881759,-0.0534372519794516,0.0361046623352357,3.53945097446442,0.406003689546629,-0.15946690732923,-0.183750364598862,1.88639636122995,-0.106667424448862,-0.837440770341432,2.78844640098714,-0.835156465406314,0.471850802958637,1.42007103244423,2.0751828769717,-1.36190583867955,-0.68049944213784,0.659782533444638,-1.59739160994643,2.12414947278876,2.39336513473702,-1.18719623963461,1.33758645784488,-0.827058913488737,1.66975109047441,-1.03232697738819,2.15647281578456,-0.891347043077108,-1.48100732859662,1.497573078398,-0.234859569229951,-0.353030188224533,-1.16518149946169,-0.550676514006415,0.0125196486843779,0.897519132472162,-0.0733291963475371,-0.548158427005571,3.01791089729487,-0.802628692228666,0.163475604212554,1.46977983390947,-0.31458661122151,2.90049192891613,0.135381390781455,0.271404943314961,2.80993726853201,-1.1172087215054,-0.345053694469534,0.411224506335347,0.522894935278436,2.84299981579231,-0.308158873572219,0.12152229365317,-0.393150060359031,-0.0970020385375734,1.23215997517532,-0.9300974595966,-0.97822015153965,-1.33942747308513,0.0261419401561212,-0.33451449923228,0.0358593005851611,0.827100174119439,0.51485108409354,-1.82927011568237,0.238929289883038,-0.141870324635856,4.02240122870429,1.7782173010933,1.14995117921354,2.05055893773293,1.22120224704802,1.54841391472402,1.60342727114921,0.740181778639567,1.84906765128505,0.708265335980777,2.02490467641167,0.0175956003773954,0.0955867068324388,7.71430583523632,1.32033090712396,3.68980659367019,1.70305958827336,1.4230357208063,2.11126725487535,1.1248930896204,2.94220782209367,1.52713564132767,8.63401779163253,1.20702394374456,1.87446528085456,3.61610651310875
"296-40-8",-0.759579104244777,-1.00034732457994,0,-1.50613360303475,1.11464290229713,0.667629224933237,-0.987702371142672,-0.504901348449963,-1.02148378850612,-1.92415151081068,0.505211525733852,0.403162906487511,-0.576522469578878,-1.10239287571533,0.471982000242418,0.838454089628938,-0.0706563095749896,-0.69293156722406,-0.572268543623075,-0.126739653019758,1.8722102526282,0.208373213180299,-0.239909686991608,0.903415806812849,-0.21253194459378,1.17687995838972,0.0114922125928098,0.94084471933456,0.0544294466683933,0.606095542585604,0.879971046668637,-0.115686067444972,-0.0749711335969953,0.64279642555817,0.0346754344221268,1.96729056522972,-0.0391163776702434,-0.233846861250969,0.699761633975277,0.224008589469971,1.64450407403521,0.313397613903062,0.754092876900082,0.164078895736098,0.292808284945306,1.6201945666116,0.455156427242007,0.284199964672631,-0.171938543558501,0.0469195111773169,2.5318307591692,-0.355232397448952,-0.00184473549571002,0.717403068447619,-0.0828509448567708,0.179537850234048,-0.114548015298849,3.56932650220677,0.699113822978641,-0.0840227303691985,-0.2124518375761,1.9445302648677,-0.00781604062079301,-0.254154184478109,3.33761745626261,-0.498754214302208,0.842109643687442,1.9325239440833,2.05576113476084,-1.29864336017745,-0.386868421175319,0.982722329621814,-1.36439315585148,2.38364603188292,2.61435900082959,-0.908362813613074,1.44284263431507,-0.72172401367041,2.00134158245819,-0.928923595898895,1.76326633096966,-0.922380258459759,-1.71268440402163,1.37271042745776,-0.142399778248245,-0.134397806529341,-1.07111202288271,-0.610257524090037,0.0632035417436632,0.585654066201057,-0.253062911298048,-0.450287974410125,3.71020050399885,-0.562510942306882,0.545279808080724,1.84074840407876,-0.229449574257548,3.05842270408513,0.524785615981739,0.185470789082849,2.5736495348679,-1.40006200210238,-0.22340283659764,0.864559232643768,0.158326621077893,2.74278785300483,-0.17456596085091,-0.029998370810369,-0.32773961327469,-0.0393794313015177,1.25285070527176,-0.883572604133612,-0.700304680149529,-1.44060966581953,0.23296444234601,0.00704482018750599,1.54928491724656,1.81256851218867,0.508162822983265,-2.03915304677143,0.27962029818657,0.157225847367195,4.22156208628155,1.66313127538446,0.343408953858974,2.54836892767463,1.89579705288424,1.72618098666266,1.65771540186635,0.633784340539769,1.99223226205203,0.654325802289843,2.06323620523285,-0.0129643580404606,0.055782438236561,7.81826002959533,1.64405314816134,4.01465672712906,1.91301588652561,1.79956133347566,2.11568036143427,0.911006387503566,3.25392285981692,1.52733788119612,8.54056772352832,0.997464002631782,2.10453092731354,3.96181051307375
"296-60-8",-1.57725299461143,-1.46816460308297,-1.50613360303475,0,1.15624671834158,-0.200742139615461,-1.65991028831103,-0.523637623533563,-0.612641842144436,-2.25609894464793,0.60977379449072,0.2999067941778,-0.622190686735904,-1.26529828008388,0.638600916074215,0.58119411447537,0.0152398871006844,-0.750937791743749,-0.582445972565495,-0.232219880646705,1.25324998821495,-0.083310724423628,-0.146731229235416,0.565328120576085,-0.167749950150555,1.13443331899066,-0.0577949603398912,0.61464028528814,-0.285054093375005,0.195179430905402,0.334871861972132,0.0648356750946364,-0.253079670181419,0.368325900717059,0.0831169439570802,0.898401818728482,-0.208510589309336,-0.188023247208783,0.0135364995762766,0.206598384260634,0.502295710748011,0.125835971227232,0.732697357878439,0.342765096836286,0.327757002191792,1.22193638715459,0.306567391832001,0.22377553798756,-0.13176827488091,-0.107373903733246,1.66423884516696,-0.268849114800077,-0.113358564917371,0.34073250764193,-0.144864767483529,-0.0633893413686175,0.148835683331959,3.03744196587773,0.228453544171782,-0.18535836983681,0.0486768385153442,1.44145024207555,-0.072758295799822,-0.907545045910373,2.67198038438995,-0.966796868012815,0.220549410799729,1.13883521118755,0.969527982394032,-1.22715826230164,-0.749094526611764,-0.0645648511557875,-1.80515949680943,1.76960577983397,1.84824863393927,-1.08486168262545,0.940056911248426,-0.825720494334333,0.994195420278062,-0.837893791874394,1.65441540660673,-0.446557934281476,-1.44755125899304,0.797624895089164,0.0873690946757829,0.243798183630196,-1.32052192332442,-0.705297841838619,-0.0868849761022061,0.364148745191861,-0.256615834694701,-0.406068456936517,2.73996328927867,-0.506856841760659,0.230870468269071,0.935158995170142,-0.410998414717955,2.29589859609956,0.0607352500815557,-0.044684454830387,2.36396278024371,-1.43515296592001,-0.381150583837434,0.675053109854897,-0.0302096527019204,2.13438003903273,-0.38508681192187,0.331839925409367,-0.776922323122487,-0.331848549362289,1.01558672298278,-0.860577498239593,-0.790905183870019,-1.8988778974429,-0.321450709252595,-0.415651087158882,1.64574902209543,0.646520240387592,0.494010049709917,-1.05179867386938,0.596278359474957,0.604678722160367,3.67893419361521,1.91906891783576,0.855314450200087,2.0419410863189,2.03064436442115,1.30584793346878,1.54655247268701,0.241224335709907,1.41553608197347,0.725071198352686,1.67002813565538,-0.383412424534239,-0.46252218651643,7.53778581848168,0.417042056823589,3.29033921747169,1.56156285534813,1.15997416801083,1.84760559181539,0.482080173759789,2.86769680816726,0.736514596859957,8.0965980494253,0.585198194759771,1.59034982889105,3.01595736962508
"297-100-8",0.7743407490201,1.13726000172681,1.11464290229713,1.15624671834158,0,1.02678594706969,-0.845256930672187,-1.54171690098542,1.36770470253258,1.96810598229714,0.702076316780925,3.5565438235242,1.55397317058832,-0.684667460094897,3.79373947310661,0.11087001781054,5.41427972425477,-1.07848946859072,0.753664976676718,6.37197649299477,0.729076952990131,6.16862337246872,5.11620823469478,1.01282771359269,6.46407479179632,1.17935854161917,6.27579638270706,5.47592928658433,2.86643191448386,4.89621607500235,0.289546810066142,5.50305415773088,5.54911745140053,4.11361847816203,5.02330278785092,1.34439715058843,4.46191640722641,5.19850496494318,2.93404999534798,5.36121378091978,1.54930187186907,4.45297332122071,6.02907029826723,6.47425055037774,4.62302496798925,1.09862657198239,4.66311246992648,4.33333833710324,5.94745392954315,4.80036379776583,1.68823975501365,4.09612971520475,4.69089276951174,1.42339154689899,4.94033917330752,5.49707019645783,5.16636739376357,2.93407322028765,2.69729664993598,-0.576573596774533,4.40100536451741,1.30880701958056,5.51703533870396,1.91648340234639,2.03682907130752,1.95399368697642,2.41279879700546,1.41791107029612,-0.0412729614901204,3.1126909384241,2.04245695377471,0.701109600429985,0.952866812663132,2.08002886477867,0.987814035233575,1.52189024291141,1.3915175520744,1.16012883578191,1.55814351287614,3.11471843329063,1.55024810165616,3.24359277106093,1.99808157511524,1.14395028906476,6.48133373514741,5.70349278513576,2.56441231396617,1.97049790239327,3.88330714333964,0.185438444035107,3.78603645038138,3.68201075736541,1.98856448731721,4.21997377916896,3.78352694473356,2.06726718767564,4.41016916799988,1.19217634587559,4.297694678783,-0.625308927873668,1.06667578304977,-0.193202794225525,0.844896398750953,1.7776509707484,-1.88229849099062,-0.323853961459976,5.16379530639117,6.14729894481252,1.90565801108331,1.54984600385703,1.052473881169,4.15227679815129,0.880454424092291,-1.35428477842143,0.29199460942097,0.134455387648639,-0.766410822820338,-0.250958554035529,-0.844021003393198,-0.996589610360783,-0.553158734651053,-0.74987537882654,1.72504899579084,0.48350097267664,-1.05824709148736,0.732886182473791,-1.52619742651376,-0.226387939899343,0.177038225901099,-0.933634369943424,0.30276548531096,-0.879432185018521,-0.152513234819732,-0.780032749144794,-1.68748692919652,4.35365704726332,-1.21526498475022,2.47745422929655,0.910600286559671,-0.134417852519243,-0.293625523289088,-1.42428532571209,0.239915989734822,-0.0813738062932059,3.29968997441749,-1.00354218443186,0.434491188398573,1.78494835487635
"297-20-8",0.314707612974776,-0.220779251234328,0.667629224933237,-0.200742139615461,1.02678594706969,0,-1.27135102943132,-1.78793351469092,-0.875284217473504,-2.70272908387237,-0.095084012012552,-2.44011211582978,-1.6374457997691,-2.2043668314093,-2.85877155303095,-0.650431711442914,-2.61758136531031,-2.11421527654309,-1.80251957396957,-2.39316515458427,0.278952483617466,-2.06550690239714,-1.52089017341895,0.509812643655573,-1.65625100794784,0.79983675973667,-1.47210417353827,-2.69754439954473,-0.586977454257512,-1.67907535441312,0.822330080109086,-1.65580061513164,-1.78947531763684,-0.941162535733626,-1.55468655709579,1.43439475398942,-1.81739351136537,-1.74866744044172,-1.02313925769432,-1.66580184806402,0.807623713673169,-1.31883122079688,-1.02653092166117,-0.97723396964502,-1.12004752714379,0.689597355615872,-1.28887899262973,-1.75832931013098,-1.36053449992307,-2.20874432671144,1.0252506963711,-1.88770167911653,-0.912425245942503,0.498240216710677,-1.37121718983364,-0.709743995818164,-1.74023938075809,1.20383261306653,-1.46762053119487,-0.934146633083871,-1.69125370120457,0.0729775571473742,-1.65972374863739,-3.07982962684939,1.09271949582489,-3.24340533043804,-1.47143474739606,-0.681816184303845,1.09742651987861,-3.74763574321711,-2.63626711537175,-1.63565219980782,-3.6086277716493,1.26826219957353,0.29178698577654,-3.46097617911861,0.597220171872892,-2.39851340594481,1.50990731718985,-3.47985866376739,1.18775173525632,-3.37853861042737,-3.33548553928427,0.921224778777797,-1.77206023688401,-1.96546991752562,-2.01098538613605,-1.52860310797443,-1.70599096022831,0.978766760412915,-0.902217752944789,-2.9772264489145,1.82451531092672,-3.04013127094489,-3.12319164450415,-0.694873771575373,-3.12621802673858,2.71214974142895,-2.39403474288048,-0.478257262860101,2.81879372674937,-1.34754531079139,-3.50148259153549,-3.2189366495271,1.62447783427737,2.81802070922122,-2.68054848240893,-2.3618322829647,-2.65037782683511,-1.62566236021908,0.744114965616305,-3.40938128456177,-2.176706444225,-2.4578566492916,-3.14480807858487,-3.19778926135446,2.27507632951777,-2.39849509905762,0.391735549175045,-2.65462937614064,1.20495260504706,1.09555434284441,1.58143810828919,0.861616497640005,-0.147007400479343,-0.337691772870406,1.58078374205946,-0.525516861350668,0.657014194302163,0.636697385140738,-0.0455309904817713,0.684778241904215,0.241315403565294,-0.675011426292582,0.334679382923297,7.78601363046308,0.886777448453027,0.431611841972194,0.139744235696852,-0.960053636121675,-0.145684664719584,0.571754528241526,-0.0203074111412366,0.175223201508212,7.80115071957651,1.35175628001064,-0.194223082518907,0.314445327787772
"297-40-8",-1.05067402240266,-1.56238465310117,-0.987702371142672,-1.65991028831103,-0.845256930672187,-1.27135102943132,0,-1.67540138779904,-1.3547020360866,-3.16464931704258,-0.53511811219808,-2.7727050501462,-2.43360927091968,-2.36631670402871,-2.23520511171992,-0.824384097354515,-2.3892611068202,-2.29176685391725,-2.06650058713733,-2.04782261292869,0.639340515354207,-1.74286347410247,-2.07948031425334,0.714447841651802,-1.63088719930196,0.268574085401093,-1.36631927076519,-2.51201660725316,-0.0701251965067604,-1.16298243106222,0.26895866309364,-1.35524929576052,-1.35204546036524,-0.682126220123867,-1.01749137682601,1.7131181301206,-1.19156259665248,-1.22010284997767,-0.645206373897939,-1.15205739128463,1.24053958592901,-0.867452307810947,-0.529102184334156,-0.638512388521202,-1.19861013560019,0.906306713902935,-0.690999974071921,-1.13898089883135,-0.993045030601301,-1.68674254577821,0.577746586851813,-1.71034303073054,-1.45761799162738,0.127650818261768,-1.10837699618417,-0.506863825413746,-1.22853312642735,1.41156812951285,-2.04781949448901,-0.0624654637350262,-1.34213851967021,-0.283111226702798,-1.20883812580966,-2.68648671269893,0.533999056587216,-2.92248597794285,-1.45591980369863,-0.466335437210928,0.688647064050576,-3.44435412795605,-2.46813887801055,-1.32261681000076,-3.48100422773203,0.552322173583655,-0.213775440639693,-3.39777546080355,0.762599993410468,-2.59453013797472,1.52134470452935,-3.43330231179324,1.21203090182508,-3.33408006795554,-3.30997828192843,1.14579098074584,-1.87624015070062,-2.00457770555827,-2.13777426696107,-1.8247779048844,-1.52381466574364,0.942297715642715,-0.960645435656267,-2.65347248011655,0.97814502429998,-2.89365033725496,-2.75501241852041,-0.687129814221369,-2.85490893242082,2.09838713797719,-2.31924298063025,-0.836535160405763,1.87218997238405,-1.56515768706413,-3.25550502444713,-2.31045650624869,-0.0865978987732261,1.18597385082529,-2.09233934113804,-2.01825099076599,-2.40552363868132,-1.60897710114094,0.749815007766391,-3.22403311296752,-2.33033294349286,-2.68041800147507,-2.70276796025981,-2.80714688399573,0.907692013215684,-1.82868789088512,-1.0604304593762,-2.64978997593073,-0.48835306437607,0.045629594231445,0.85725716071487,-0.298917878187259,-0.610985816833373,-0.6579229392428,0.156278059844239,-1.27907628057879,-0.249645742701142,-0.65192325070461,-0.812832029843148,-0.49072394608294,-0.640481164332551,-1.38169282407793,-0.911545144102819,8.15802689404106,0.0061255735198492,-0.168284409130187,-0.742343225493913,-1.49895559329605,-0.984180188354627,-0.653645805740173,-0.925550556286507,-0.937600714846365,8.1522784196049,0.387704173283526,-1.32135047083857,-0.240628979293962
"297-60-8",-0.67122953814431,-0.709878293714979,-0.504901348449963,-0.523637623533563,-1.54171690098542,-1.78793351469092,-1.67540138779904,0,-0.819467341255393,-2.08495431986289,-0.132719651185358,-0.0766295669163784,0.601412588956702,-2.21998740155074,-0.335028100098791,-0.554882302384084,-0.523568786845005,-2.31961685746268,-1.63509895337529,-0.426041893388413,0.415590844350935,0.189380171434512,-0.832310687519906,0.00204610044791704,0.0107947048579967,1.27763257883274,-0.00404030149736217,-0.118374092050421,0.0196273856619899,0.192985631577424,1.2632053539616,0.145449614922115,-0.0932747736815215,-0.182297253164917,0.306712508869354,2.38739319123892,0.198638028889853,-0.178767606871251,-0.346857428630694,0.437284078964044,2.52002444881943,0.314449404958269,0.93284443313098,0.390160525520027,0.230509628089787,1.00891884299061,0.831252561398908,0.529367761531837,0.152222275663336,0.188593922594698,1.0257782381288,-0.300526054859368,-0.200772945339612,0.883905476226064,0.128938021567471,0.369073715783352,0.0548462379382633,2.86481426795285,-0.900516851320201,-0.84400821304943,-0.110895641904832,0.286592276066333,-0.185047364069674,-2.16955352986539,1.37956559063579,-2.21057857565673,-0.698885169581906,0.216780031260066,0.450358571291754,-1.64840319275634,-1.68350092950908,-0.717217551104735,-2.71784270277452,0.652500311979721,-0.521296125510804,-1.43896561604627,0.65459935626327,-1.09981245611552,1.97319074230094,-1.54407024660343,0.614037422526279,-1.43629715036846,-2.62076249850578,0.769016536689296,-0.140399448166154,-0.106137196759855,-1.31841953578445,-1.70711461835302,-0.559842277242396,-0.205738494995962,-0.994862456920261,-1.46863223327806,0.74616247563939,-1.46198849177945,-1.26366311241655,-0.865532453418174,-1.66699685159933,1.84386113874104,-1.32904753941645,-1.65414219661676,0.14913084793047,-1.85373251829912,-1.56750630643216,0.461195310494545,-2.01785626727055,-0.606102382651013,-1.23181176999967,-0.110757119765177,-1.88912519855405,-1.82057594856119,0.501715027637463,-2.45076994145519,-1.08493436811015,-3.22357874207036,-1.52092592981167,-2.0360737701948,0.613650022003217,-1.07825355867723,-2.13700732966481,-1.28304065107745,-0.715697524017148,-0.2706001199226,3.39792902128422,0.12964795864425,-1.21698576388292,0.0191749550211763,-0.339757057745556,-1.34239036107764,0.0572563846560948,-1.2323934814637,-0.364641424588779,-0.166560950269055,-0.844144152534185,-1.28827462655484,-1.60474349245561,7.57192348210459,-0.935403701336141,2.23628109379228,0.6618647289138,-1.01847073573891,-0.823243730771835,-1.35856462324989,-0.447735277080277,-0.412348017654865,7.0567256455619,-0.405378515185135,-0.0191638589076673,1.81848020837672
"298-100-8",-0.566081378084584,-0.941550290091105,-1.02148378850612,-0.612641842144436,1.36770470253258,-0.875284217473504,-1.3547020360866,-0.819467341255393,0,-1.58851547581182,-1.47054286676867,-0.694602788426405,-2.12732063835938,-2.68692472539169,0.169324721422191,0.189634224491114,0.256849080885566,-2.77600883104729,-1.67988016545874,0.204785068651723,1.12438413555658,0.557739628054802,-0.33580562407894,-0.186813567065387,0.636088217435453,1.56682701915044,0.555124452911863,1.11983665896035,-0.553925986635812,0.26595808539946,1.20899632685448,0.219690977124267,0.122718906020668,0.695419593166213,0.108888246208704,1.63077928112383,0.174044180809554,0.0813243837800657,1.58962978548915,0.681515066449426,1.82171443843281,0.504482623613836,1.13314369642668,0.459619698523979,0.794763177065537,1.60931961406102,1.51029073842064,1.22026160611971,0.312679805832935,0.487917629692242,1.94030529502563,-0.0982093819963798,0.466207769954915,1.50685362361499,0.237007163023139,0.295727448929051,0.190199306431236,3.53737436584119,0.681961048239533,-0.567675691520729,-0.056726309634804,1.84160498518737,0.0203438618079566,-2.23861214781386,0.742771083332775,-0.460242502356164,0.671282921621052,1.07383697397501,0.535413015001625,-1.1704597119182,-2.20182285235291,1.12823520973894,-1.00647344195055,2.03782161130448,0.631996809283132,-0.874660691977511,1.90242668665515,-0.972262749705675,2.97236962608362,-0.936215230982038,1.51758809223277,-0.691619120080555,-0.550164936029633,0.898775739099438,-0.31266631053915,-0.532406475220645,-0.787326791994605,-0.997455476511523,0.130525945370161,0.612965300489567,-0.99304291879199,-0.371878024993902,2.07201959139265,-0.577559152571003,0.746090800115435,1.44845226987503,0.185296944721424,1.60322404286921,0.061059638351303,-0.321569719650218,1.01792910422641,-1.80112676048713,-0.622604231027486,0.351531297201199,-1.92625639065745,-0.652296855061364,-0.0344962395535394,0.546576224907391,0.375888046248202,1.39450649532126,1.13922906759385,-0.938229314530316,-1.79939071608636,-2.28977171754401,-0.839971119983891,-1.17652281163157,-0.510691009041172,0.951282513964161,-0.67386289872313,-0.898992474814606,-1.1171283200073,-2.11840755007077,4.10634868014895,1.37571440847054,-0.51858559108088,-0.21528774031837,-0.404769513416023,-0.367160611238485,-1.43619918625844,0.153188296043051,0.720283279989089,-1.55204467037353,-0.898409361990291,-0.209915437965183,-1.53942273083665,7.92630286228882,0.258769086109747,2.92853799892545,-0.041128999669929,-0.533261952382088,-0.38770705357804,0.0496386031764803,-0.179099319799631,-1.04676186323108,7.41701463722205,-0.375661017403426,0.802470031335404,2.74444495621799
"298-20-8",-1.89623182679731,-1.89212422033579,-1.92415151081068,-2.25609894464793,1.96810598229714,-2.70272908387237,-3.16464931704258,-2.08495431986289,-1.58851547581182,0,0.429558356470391,-1.8289949534371,-1.50487565020762,-2.22650216083119,-2.40595870884977,-0.585850067697694,-3.15361319546837,-2.81537838393084,-2.59931279998853,-3.20609387253349,0.7922491556835,-2.14823019124561,-2.85614640707814,-0.505037918545537,-2.84615591124798,0.155143155660379,-2.86487945860586,-2.03562948608938,-1.13056442879803,-2.72201811258034,-0.122737376022649,-3.31470719361479,-2.79499970485823,-1.99438973270279,-3.36747262959277,0.813439903380891,-3.23692089321701,-3.01866089233889,-0.281959252542554,-2.76264669554736,0.710270770092422,-1.91889254911951,-1.52007949444743,-2.45394921181433,-2.28672173767825,0.437891254350828,-1.8490248042657,-2.55852873064416,-2.31074841696611,-2.78061522422507,-0.244159113029836,-2.95851710689861,-2.53763641060579,-0.398686894962563,-2.32831917089561,-1.90290902715869,-2.80458921864222,1.22610552310119,-2.74217167320047,-1.45292887753339,-2.10229477663047,0.21216506940645,-2.83190861098985,-3.48709075252562,0.970816227719454,-2.81986310862607,-1.39656923468019,-1.53193170909908,0.835723617748526,-4.13285101301256,-3.83881053508106,-1.96479691716436,-3.63761444153849,1.4542713720552,1.05896558126236,-2.84852704107181,-0.635677860669626,-3.02374647554616,0.230046003450997,-3.88610450691129,1.25868421497798,-3.42591466699959,-3.18181207200411,-0.410614914338603,-3.3116423534373,-3.30713381482034,-3.30781650557689,-2.80695135006024,-2.77784555530302,-0.37565956632176,-3.82527844754905,-2.50533109997115,2.29259198781363,-2.64412542678791,-2.30888356454979,-0.692894184770064,-2.43481828755854,1.85586383597219,-2.84912017999849,-1.32059659080716,3.22958066547434,-2.06170576780496,-1.92260634728482,-0.492955387367773,2.36963506032779,3.26324339574522,-2.61895266609912,-3.04031930686341,-3.28152855549151,-1.90144595696601,0.183514199725173,-3.22188930712204,-3.07271119635256,-1.55612768499134,-1.45260462761378,-2.303043036128,2.30555251243906,-2.37685653646445,1.33257011635459,-2.79473144852291,0.912294172772341,0.192263782964211,1.19793515199421,0.00974627144019924,0.120632770827365,-0.0161834839357363,1.85234256950569,-0.408047496546008,0.820166226228923,0.528044495741641,-0.0303541867567113,0.963698182659648,0.263944476487231,-0.510760463658015,-0.0576836872949349,6.0875500790286,1.22862464604424,1.4623148086019,0.0441704057729076,-0.733416739532921,-0.0925620582734983,0.930264464367185,0.0267177960451184,-0.278159934131291,5.48870537296721,1.74443868116275,-0.17886921957488,0.157317945381401
